,AS1501_3D7,AS1502_3D7,AS1503_3D7,AS1504_3D7,AS1505_3D7,AS1506_3D7,AS1507_3D7,AS1508_3D7,AS1509_3D7,AS1510_3D7,AS1511_3D7,AS1512_3D7,AS1513_3D7,AS1514_3D7,AS1515_3D7,AS1516_3D7
PF3D7_1444500,37.41314732,88.36496631,77.83439421,54.71517922,49.39314146,46.88292631,27.99746837,25.2710048,17.63634156,14.51624048,11.33818526,9.907983027,10.37035764,10.61332811,18.45851119,19.32454383
PF3D7_1444600,4.646286393,26.18807353,16.82796805,4.159977586,5.367173214,8.494361393,5.748023668,4.843089648,1.646032736,2.324542802,2.244730306,4.433159279,6.74372611,3.829104587,2.759727878,3.753215407
PF3D7_1444700,10.41512271,16.29844571,14.44562414,12.75578154,11.1050053,13.36545948,10.45467795,11.39735497,11.90219571,13.87640176,14.51163034,19.08866231,34.28933719,45.36930786,62.16896894,69.37761812
PF3D7_1444800,2545.783066,2045.07155,2129.175055,2490.400938,2442.107744,2278.568554,2848.397586,3120.192294,3515.817673,4222.411375,4781.733322,5444.880991,5738.564909,5045.757668,3299.691233,3275.4688
PF3D7_1444900,2.604454593,5.588966712,4.621931718,4.033735492,4.001225415,5.814059668,3.930685654,5.001059954,4.449680018,4.34407334,8.0588531,10.25417929,8.907485189,9.930111243,11.33355774,9.43338178
PF3D7_1445000,13.53461792,33.46573679,33.45138043,19.35922739,25.32763199,25.16265806,23.07768806,24.05735511,19.20169311,16.40944453,24.71259042,25.88616466,20.56756247,22.28935225,24.08729102,31.41464704
PF3D7_1445100,39.98601199,85.20916901,85.16466797,73.31675943,71.86151594,83.98749662,72.80983716,80.01265293,76.96764813,67.93245525,63.50373194,53.9604304,45.18303107,41.13820857,62.98128573,51.90627172
PF3D7_1445200,137.8866169,269.6123822,227.3050314,209.1837161,188.2110546,183.6434665,180.8539232,168.7103604,163.2102384,159.570676,160.3721156,141.9091553,122.3344768,116.8113244,109.6859946,98.24288559
PF3D7_1445300,8.240241593,23.97251011,18.07436492,13.23319812,11.84351998,11.88962826,9.20259597,8.336175204,6.444921015,5.953134904,7.900910996,10.62023757,15.64954937,20.10080848,25.86121273,28.91542685
PF3D7_1445400,181.6652325,294.4142362,237.3251608,193.4118377,184.4965358,177.5912975,149.3783104,164.2704782,192.0691899,186.79599,182.5713982,147.9782536,127.2169233,146.1319745,206.1347762,183.1409379
PF3D7_1445500,54.64985882,165.3524151,156.6052039,119.097385,133.5782069,131.4693965,107.1013574,111.2780565,88.02434397,87.25248891,101.410113,86.24681823,55.11015794,45.40906308,88.19873849,74.90648062
PF3D7_1445600,231.9195958,446.4416626,354.2771656,277.6467988,255.5565591,243.2765351,177.8686697,181.5764588,156.2182487,140.086995,152.2540372,133.1367583,157.3894696,169.4484816,197.8851876,199.0237456
PF3D7_1445700,234.9061947,408.8626685,331.2814983,290.488753,297.2089593,300.2083904,238.2807188,260.8978683,257.6758254,265.4667503,302.43103,323.5239039,338.9476539,337.2629843,497.5470225,484.5759789
PF3D7_1445800,1.744625707,7.308060777,5.921462233,3.203492673,3.469113282,2.371769976,1.72394569,1.781794216,1.122109237,1.044697258,1.339608017,1.128253716,1.610788569,2.282861275,1.639495526,2.264580174
PF3D7_1445900,876.4766204,1167.212253,1034.487259,1048.724834,982.4407265,880.7960043,844.2957382,760.2726943,781.4898927,732.5378398,709.3030845,683.1041699,701.4910507,738.2283448,534.4377833,493.9375101
PF3D7_1446000,23.47886733,29.10374973,75.91434765,96.62347939,55.64559364,72.68252215,68.10983756,61.68286705,43.3384944,44.35704495,74.68829926,64.34673858,43.53093045,69.55098158,101.0568227,90.01301223
PF3D7_1446100,2.512677024,6.390391148,6.98884032,3.517071959,5.827216632,5.67804906,2.691911911,2.798928433,1.471453507,1.141139194,1.595428151,1.450852128,1.22613202,0.875865565,1.505306115,2.082203419
PF3D7_1446200,96.63308458,157.7146819,212.8970341,260.270096,316.0057978,392.4144305,410.5229421,488.2021604,564.97448,562.6490642,458.2772158,404.6880408,404.1265043,463.54505,656.6405755,661.7680712
PF3D7_1446300,13.09571531,25.46306814,25.36351052,16.96691529,21.7532611,23.90820677,17.31041234,18.90685549,12.31233407,13.94179648,23.72648433,25.00956394,27.79479124,27.63562353,34.5758603,28.58379357
