# RNA vs. RNA Profile Dissimilarity Measure Over Phase Shifts 
# Time series files:  AA13_3D7, AS15_3D7, AS16_3D7, AA17_3D7 
# No. of Randomized Curves (Exhaustive):  40320 
# Author: Robert C. Moseley 
	shift_0	shift_1	shift_2	shift_3	shift_4	shift_5	shift_6	df_1	df_2	kt_diss_range	kt_diss	kt_diss_pval	est_delay
shift_times	0.0	3.0	6.0	9.0	12.0	15.0	18.0						
PF3D7_0613900	0.03571428571428571	0.047619047619047616	0.06666666666666667	0.1	0.0	0.0	0.0	AA13_3D7	AS15_3D7	0.1	0.0	0.0	12.0
PF3D7_0613900	0.10714285714285714	0.047619047619047616	0.2	0.1	0.3333333333333333	0.3333333333333333	1.0	AA13_3D7	AS16_3D7	0.9523809523809523	0.047619047619047616	0.024391	3.0
PF3D7_0613900	0.03571428571428571	0.047619047619047616	0.06666666666666667	0.1	0.0	0.0	0.0	AA13_3D7	AA17_3D7	0.1	0.0	0.0	12.0
PF3D7_0613900	0.07142857142857142	0.09523809523809523	0.13333333333333333	0.2	0.3333333333333333	0.3333333333333333	1.0	AS15_3D7	AS16_3D7	0.9285714285714286	0.07142857142857142	0.024637	0.0
PF3D7_0613900	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AS15_3D7	AA17_3D7	0.0	0.0	0.0	0.0
PF3D7_0613900	0.07142857142857142	0.047619047619047616	0.06666666666666667	0.0	0.0	0.0	0.0	AS16_3D7	AA17_3D7	0.07142857142857142	0.0	0.0	9.0
