# RNA vs. RNA Profile Dissimilarity Measure Over Phase Shifts 
# Time series files:  AS19_FUP, AS18_FUP, AA17_FUP, AA13_FUP 
# No. of Randomized Curves (Exhaustive):  720 
# Author: Robert C. Moseley 
	shift_0	shift_1	shift_2	shift_3	shift_4	df_1	df_2	kt_diss_range	kt_diss	kt_diss_pval	est_delay
shift_times	0.0	3.0	6.0	9.0	12.0						
PF3D7_0821900	0.13333333333333333	0.6	0.8333333333333334	1.0	0.0	AS19_FUP	AS18_FUP	1.0	0.0	0.0	12.0
PF3D7_0821900	0.5333333333333333	0.5	0.5	1.0	1.0	AS19_FUP	AA17_FUP	0.5	0.5	8.777777777777778e-05	3.0
PF3D7_0821900	0.5333333333333333	0.7	0.5	0.6666666666666666	1.0	AS19_FUP	AA13_FUP	0.5	0.5	9.027777777777777e-05	6.0
PF3D7_0821900	0.6	0.5	0.5	1.0	1.0	AS18_FUP	AA17_FUP	0.5	0.5	8.833333333333333e-05	3.0
PF3D7_0821900	0.6	0.7	0.5	0.6666666666666666	1.0	AS18_FUP	AA13_FUP	0.5	0.5	9.125e-05	6.0
PF3D7_0821900	0.4	0.3	1.0	0.3333333333333333	1.0	AA17_FUP	AA13_FUP	0.7	0.3	5.222222222222222e-05	3.0
