ORF,AA13vAA17_FUP,AA13vAS18_FUP,AA13vAS19_FUP,AA17vAS18_FUP,AA17vAS19_FUP,AS18vAS19_FUP,AAvAS_mean
PF3D7_0824100,0.6952133187224387,1.7307912281897295,1.8183840762085,2.155447563209139,2.310903043688413,0.5754055948419798,2.003881477823945
PF3D7_0908600,0.9129892630984772,1.6282926186266788,2.3805666450367218,1.6295657276012392,2.42145559819058,1.5362626954407752,2.0149701473638046
PF3D7_1020500,0.939059962199336,1.7634994724455817,1.9919126979786759,2.0698908786167785,2.2674019254365945,0.8240797184350503,2.023176243619408
PF3D7_0409400,0.6024147662402431,1.7775344440488656,1.909318568707857,2.107910037369435,2.2997541816025193,0.4885088647452959,2.0236293079321688
PF3D7_1215100,0.7456858089736251,1.721005795946254,2.048121195893914,1.99029757633026,2.3425658360268597,0.596436298969689,2.025497601049322
PF3D7_1037300,0.8530165114038665,1.6617025937370642,1.9146851534881002,2.103281462024182,2.4253605502073725,0.7962071586974907,2.0262574398641795
PF3D7_0110500,0.9424595600738987,1.4572206848537397,2.0741122429318715,2.071866669526937,2.5036122249919623,1.0987363696734187,2.0267029555761282
PF3D7_1006700,0.8992945636842751,1.8259492414496945,1.9148778233316148,2.1930321329289493,2.1909546332081296,1.1827733439643695,2.031203457729597
PF3D7_1038100,0.7969583475047645,1.8883759389628385,1.950141708213276,2.158102788755805,2.1308032935979138,1.03882812155254,2.0318559323824585
PF3D7_1402000,0.6561020479762152,1.7322260874722153,2.4063977431380668,1.6685762938011028,2.350896184436757,0.8142033815752334,2.039524077212036
PF3D7_0214700,0.9325853521207288,1.3988641490313178,2.142363128941758,1.6997114218038498,2.9340564913532985,1.6435432939115853,2.043748797782556
PF3D7_1126000,1.0181619833524949,1.8919104552717283,1.992642589540815,2.0896249468517087,2.251364342036471,1.0412683153427529,2.0563855834251807
PF3D7_1321200,1.0123025192714388,1.9802388673491813,1.8611553629681967,2.1422213399932173,2.2563561013304807,1.8461519731182303,2.059992917910269
PF3D7_0110900,0.7291411635632994,1.9816722402205056,2.1996597381424836,1.9207377097893543,2.17476506670215,0.9352337868244136,2.069208688713624
PF3D7_0512200,0.6214605400673223,1.721588501945532,2.2738858458811877,1.8787187640837275,2.405006905327415,0.7954517408501518,2.069800004309465
PF3D7_0625700,0.7495577997267049,1.716163831772024,2.7658759387532235,1.3627385040922635,2.4469097980548016,1.1894278076921498,2.072922018168078
PF3D7_1220600,0.9423355410184852,1.603880117224899,2.7571206083338065,1.4021169981449035,2.545124723778692,2.3518145132924086,2.077060611870575
PF3D7_0212300,0.8959760356907613,1.9199099005399467,2.23248926480478,1.899058752945162,2.3076546941796545,1.5349144687479477,2.0897781531173862
PF3D7_0807700,0.981522135151,1.6844172409828464,1.993225131873536,2.006096262336226,2.6768857407400457,2.012616493685045,2.090156093983164
PF3D7_0532500,0.9998995537210988,2.184738878383968,2.506473593953901,1.7269223031768417,1.9558221411322263,1.2904753375028526,2.093489229161734
PF3D7_0216600,0.7191508879621712,1.6837124359230726,1.9879494880633573,2.160571445260106,2.565229851717449,1.1346412855264971,2.0993658052409963
PF3D7_0629500,0.9206776653807048,1.8556603822455036,1.796029484968345,2.606656629621237,2.1446266942730023,1.1152387333088714,2.1007432977770217
PF3D7_1470700,0.8951149968888618,1.9038520723359864,2.295797308924187,1.9871198781029729,2.2387260941490306,0.8156795956329823,2.106373838378044
PF3D7_1211600,1.0501344752353392,1.568489031898909,2.30543270009336,1.9601351635171482,2.6232005977836192,1.379666700199084,2.114314373323259
