ORF,AA13vAA17_FUP,AA13vAS18_FUP,AA13vAS19_FUP,AA17vAS18_FUP,AA17vAS19_FUP,AS18vAS19_FUP,AAvAS_mean,mean
PF3D7_0913400,0.6703416873938526,2.2752842272723965,2.3207259084263283,2.6987959895538003,2.7097287301962116,0.648910847659324,2.5011337138621843,1.8872978984169857
PF3D7_1412700,1.1173453044757728,2.1168045895053327,2.3262869733905176,2.684974838907107,2.8773799407690275,0.9832790191956524,2.501361585642996,2.0176784443739018
PF3D7_0824500,0.9501572942818022,2.4712112899597374,2.4736437187608344,2.524060089755963,2.5911460934800523,1.0753579628502279,2.5150152979891467,2.0142627415147696
PF3D7_0824100,0.7617798924699667,2.3485275889377863,2.225278859225481,2.849034254320792,2.6403576802627207,0.7654215197763331,2.515799595686695,1.9317332991655134
PF3D7_0214000,0.7576984400971665,2.3512287004085914,2.4724003511287025,2.578357690225285,2.716195132196243,1.1610781779369155,2.5295454684897054,2.0061597486654836
PF3D7_0209800,0.8588022952765527,2.4258587046314832,2.8603551937782026,2.134078938334218,2.720835947122163,3.137781796583124,2.535282195966517,2.356285479287624
PF3D7_0821700,1.154799281987252,2.7235956325506536,2.4648278824937684,2.5930326382854516,2.392569733956183,1.5168147178938585,2.543506471821514,2.1409399811945278
PF3D7_0212300,1.1503620253998392,2.532879326640516,2.8113867539729056,2.2122543238954324,2.663558626226665,1.6048165067167537,2.55501975768388,2.162542927142019
PF3D7_0915400,0.8807466366604438,2.470251067503924,2.348482793260192,2.801355428432891,2.6141626970730187,1.4284540344343508,2.5585629965675065,2.0905754428941368
PF3D7_0919700,1.1191145479413405,2.258263456434175,2.750232167651513,2.435533826730541,2.8289019116709584,1.0985014586112307,2.568232840621797,2.08175789483996
PF3D7_0517200,1.0397731146761993,2.90320304297748,1.8424671750980797,3.2925211869718067,2.253254363596383,1.8236191951164988,2.5728614421609377,2.1924730130727412
PF3D7_1020100,0.7614996149445421,1.0834256404315137,4.331952139312242,0.7322558433757921,4.18235961626857,4.159378981217814,2.582498309847029,2.5418119725917454
PF3D7_0918900,0.7396647869644188,2.2017297972744028,2.689804222357112,2.560449170152695,2.9059621340384076,1.3363197516390901,2.589486330955654,2.0723216437376877
PF3D7_1111200,1.1728617141089337,2.3494657900590186,2.3505113375441695,2.798714016670421,2.880815010422948,0.9503554374512344,2.5948765386741393,2.0837872177094545
PF3D7_1458400,1.1649523472224061,2.300915460206602,2.524669338014243,2.671386342664802,2.9114547773697916,0.8511609810698543,2.6021064795638598,2.0707565410912836
PF3D7_0703700,1.1092436222674475,2.2465838082919842,2.8767473503564993,2.5068329289009297,2.801133327586948,2.55781734728998,2.60782435378409,2.3497263974489644
PF3D7_1029600,0.878991331084297,2.3000399382107206,2.3791694513188175,2.8653440176864686,2.9547677238955083,0.4967062317103161,2.6248302827778787,1.979169782317688
PF3D7_0725200,1.295450294715941,2.282369966109445,2.38895245444321,2.6466593738092965,3.193480305126183,2.0330342028081794,2.6278655248720337,2.3066577661687093
PF3D7_0532200,0.9663549518434977,2.3648387349658235,2.600501991633504,2.7680136623006044,2.808240616556858,1.946793277121862,2.6353987513641974,2.242457205737025
PF3D7_0819900,1.1207467533844542,2.747329773158855,2.971141836473686,2.2025801430045364,2.671173237623516,1.3153932265123995,2.6480562475651483,2.171394161692908
PF3D7_1434300,1.1175083381834998,2.6335522676724974,2.285682884026339,2.9394308328478003,2.7397854770637,1.1822835257257198,2.649612865402584,2.1497072209199257
PF3D7_1135400,1.111067489924106,2.1132733805253876,3.0514857416265677,2.28751575329383,3.1541568027039797,1.9540698928314706,2.651607919537441,2.2785948434842234
PF3D7_0221200,0.9940260231323215,3.0099007231419326,2.3901917549606333,2.8442061336259266,2.3882116012464367,1.4711627757346173,2.658127553243732,2.1829498353069776
PF3D7_1338300,0.898192895543078,2.5104718167963553,2.745820634119139,2.604240782463933,2.815743339992777,1.578129138414811,2.669069143343051,2.1920997678883487
PF3D7_1353000,0.9996042558090644,1.8714631636555141,3.254104330103014,2.180600324842226,3.384409376353869,1.8544220397995512,2.672644298738656,2.2574339150938734
PF3D7_1228900,1.0405921741629434,2.4693614281640177,2.4483653018305556,2.8586865439721603,2.954843328371515,0.5912090377226086,2.682814150584562,2.060509635703967
PF3D7_1249100,1.203432064625457,2.340677191522681,2.621000318957697,2.740107954067578,3.0420892508238233,1.3702696759480921,2.685968678842945,2.219596075990888
PF3D7_0318700,0.5862987217342466,1.4065456857102039,3.656389803862178,1.7678504659969168,3.93766103859584,2.9504263571156755,2.6921117485412847,2.38419534550251
PF3D7_0607000,1.1975024980259585,2.4435990259435774,2.58330166933702,2.8504058275673185,2.9621316178075396,1.2079397224322976,2.7098595351638637,2.2074800601856186
PF3D7_1442000,1.1067387102282573,2.6395231249479725,2.7446187124687493,2.751852853984737,2.731498356062429,1.1886544603285998,2.716873261865972,2.193814369670124
PF3D7_1207600,1.2017485027672128,2.5208053986143226,2.5906768084489893,2.864899174242027,2.9143029005837486,0.8466144558973133,2.722671070472272,2.156507873425602
PF3D7_0815200,1.262502233809455,1.9430422661479225,3.130270042531674,2.4248968211020925,3.406753427917729,1.6957845946356183,2.7262406394248546,2.310541564357415
