ORF,AA13vAA17_3D7,AA13vAS15_3D7,AA13vAS16_3D7,AA17vAS15_3D7,AA17vAS16_3D7,AS15vAS16_3D7,AAvAS_mean,mean
PF3D7_1230800,1.2354273987379458,1.5129861440675905,3.8862815674278304,0.8782732212230022,3.7300661130179513,3.3592367356235413,2.5019017614340937,2.4337118633496435
PF3D7_1238900,1.0034528042200634,2.5257033315110218,2.6413426926546637,2.3931587620369688,2.456290280009566,0.8843306901862312,2.5041237665530547,1.9840464267697524
PF3D7_0826000,1.2125378279163157,1.6295234701600765,3.0613195893646803,1.8069506622893303,3.6125360782539486,2.4001157210599526,2.527582450017009,2.287163891507384
PF3D7_1118100,1.126064342319164,1.6448218498639873,3.7991016241456768,1.1119499333689429,3.677590954366814,3.172086181348848,2.5583660904363548,2.421935814235572
PF3D7_1032500,0.9681250547130114,1.6646831035350589,3.755368558190997,1.2633350522292586,3.578513659961313,2.8887609629932958,2.5654750934791566,2.3531310652704893
PF3D7_1438100,1.0331590067331764,1.6212004009967074,3.8442082904021686,1.1043977125659463,3.6979216414891294,3.143076580379587,2.566932011363488,2.4073272720944527
PF3D7_0402900,0.8829925604263427,1.1924652040951578,4.233469220541156,1.0297499712825982,3.816072220890839,3.7652504550658734,2.5679391542024383,2.486666605383661
PF3D7_1447700,0.9081909924864471,1.1271718991130628,3.9127769922098055,1.1255043630765178,4.119320747057212,3.633286948731437,2.5711935003641493,2.4710419904457472
PF3D7_0612000,0.6649911621057308,1.4132018295600286,4.010016580152397,1.2557220335973844,3.6342074874303134,4.065236391312176,2.5782869826850305,2.507229247359672
PF3D7_1144900,0.9312089966949608,1.6047010560547816,3.5461125785094136,1.4551241208775607,3.720488014103832,2.5656850375797955,2.5816064423863967,2.3038866339700577
PF3D7_1107800,1.2419084455192086,1.7980534056255555,3.4870361458356984,1.6870776165344292,3.420793859241641,2.398081830272347,2.5982402568093312,2.33882521717148
PF3D7_0812800,0.9182971963554868,1.2271302487731786,3.899107459947015,1.2586774535006913,4.030117287016583,4.029314621288688,2.6037581123093667,2.5604407111469403
PF3D7_1003600,0.3989837773384512,2.2857164004547657,3.14607164737864,2.073467503762,2.9378499259236266,1.0154509145300252,2.6107763693797583,1.976256694897918
PF3D7_1203700,1.1959411307077668,2.541479468977483,3.3922026949102317,1.7906612379513818,2.766910688609836,1.866042754621242,2.6228135226122333,2.25887299596299
PF3D7_1474800,1.1262551864352928,1.6933664674514184,4.080724497082134,1.0023493958311256,3.8069686110432097,3.3093031051989223,2.6458522428519715,2.5031612105070167
PF3D7_1001000,1.0489101389740023,1.6415872920810577,3.6354066283351067,1.6371166790611558,3.6727247009979536,2.884625353009987,2.6467088251188184,2.4200617987432107
PF3D7_0423100,1.1073793070218347,1.6210699691619317,4.028585026012731,1.1691905458897611,3.8729638929781514,4.117548749136678,2.6729523585106443,2.652789581700181
PF3D7_1302300,1.2983770206900078,1.6273713693556278,4.060724598454124,1.4196908185318702,3.718219980070504,4.071562776994177,2.706501691603032,2.699324427349385
PF3D7_1201200,0.8747854243145357,3.354036081883052,2.243226318340799,3.1920440036997815,2.0782866430906357,2.4001771987410305,2.716898261753567,2.357092611678305
PF3D7_0508200,1.1211969251322078,1.6032269688186476,3.797502935089975,1.6196918085922305,3.8530369568748863,3.52780191558707,2.7183646673439346,2.5870762516825025
PF3D7_1456700,1.2873598431326376,2.7213303788477923,3.2912383557525096,1.9289332422099297,3.076972618997311,3.7347217622701794,2.754618648951886,2.67342603353506
PF3D7_1016800,1.1787759645332143,3.295674053109389,3.051420548103335,2.4984339770277546,2.188737670780521,1.5112279815923972,2.7585665622552504,2.2873783658577684
PF3D7_1317200,1.248802840946932,2.206781395325349,3.2345152851313395,2.1157594908258783,3.5311064684122937,2.5158825958976165,2.7720406599237157,2.4754746794232347
PF3D7_0525000,1.1973795202077506,2.9234796228079434,2.632289362602859,3.1408854688574888,2.4213529349003347,2.1035746847123256,2.7795018472921558,2.4031602656814504
PF3D7_1211800,1.1694708204882969,1.7050350844445792,3.753771110908227,1.8202474674036009,3.878284152397188,3.3319524780131746,2.7893344537883986,2.609793518942511
PF3D7_1331500,1.124284725453672,2.3385811191282766,3.356158616222703,2.0263642814867278,3.5448598520990746,2.528927427335389,2.816490967234196,2.4865293369543067
PF3D7_1321700,1.1733758588626375,1.5207695125699583,4.2694311953612605,0.9780065717164784,4.5167634292551915,4.208293261483194,2.8212426772257215,2.777773304874786
PF3D7_0832000,0.8595031183838621,2.7651534294187017,3.2382792099357234,2.427984305888526,2.855698093403814,0.8933785661330708,2.821778759661691,2.17333278719395
PF3D7_0304100,0.7849282748818769,2.3036117441797863,3.032096587263424,2.5909804443182014,3.36624605085008,1.30082847649871,2.8232337066528728,2.2297819296653465
PF3D7_0422900,0.8022542197997956,2.989603454762022,3.016297125283739,2.6728168203108758,2.6785069591979536,1.0667408815911958,2.8393060898886477,2.2043699101575966
PF3D7_1002200,1.316470576600044,2.1283713879548265,3.558275006477272,1.930478063248592,3.761832516808033,2.710390817515568,2.844739243622181,2.5676363947673893
PF3D7_1407800,1.385827031608435,2.7512593876958467,3.502705445778103,2.211902304414445,2.9403130059271665,2.568515215334488,2.8515450359538903,2.5600870651264143
PF3D7_0600100,1.294818568096889,2.567495649051753,4.006632921967899,1.6065002542038431,3.262950486252545,2.309267075329158,2.86089482786901,2.507944159150348
PF3D7_1203900,1.1474833446805808,2.259855592321863,3.686870358579857,1.6990242227030516,3.8251578780047977,3.983297993361936,2.8677270129023924,2.7669482316086813
PF3D7_0916700,1.1546599326057565,2.8249984908983463,3.4948914177240704,2.310622545208753,2.8422188951781786,1.6993031296310146,2.868182837252337,2.3877824018743534
PF3D7_0814000,0.9820637661494704,1.8678685022818475,4.008807290366305,1.9211074943833242,3.7105583792790866,3.7233020538077986,2.8770854165776414,2.7022845810446388
PF3D7_1360100,1.2012794950134085,1.8369014416157523,3.941714746673022,1.7746100785537229,3.9633052162826736,3.6076959047706656,2.8791328707812927,2.7209178138182075
PF3D7_0418300,0.9838373879519922,1.2357738847770483,4.439811808328316,1.447142742742215,4.4783910594103284,4.178602342762822,2.9002798738144775,2.7939265376621205
PF3D7_1212500,1.0591882754481692,1.9635239722931228,4.350954959212145,1.3148491953335082,4.047061021562735,3.5559484228229423,2.9190972871003775,2.71525430777877
PF3D7_0807900,1.4801853886987768,3.159283414245649,3.6622284514151184,2.218797206033817,2.805993061863997,2.2312067378652034,2.9615755333896456,2.592949043353761
PF3D7_1342000,1.4217834676292471,2.2027760255374726,4.089413822149884,1.9015692193287943,3.7193138471323834,3.5733780211532604,2.9782682285371336,2.818039067155174
PF3D7_1346100,1.068227277197736,1.84057409947452,4.38729423637562,1.5184091372091382,4.2510605398985115,3.64568755475914,2.9993345032394467,2.7852088074857773
PF3D7_1027900,1.083212295176104,1.985563471118012,4.0823427166893795,1.8531532154085248,4.119235430612509,2.97918965570041,3.0100737084571065,2.683782797450823
PF3D7_1360200,1.343092514191303,1.8265718218022131,4.2879192272067215,1.7288468924460774,4.4758162656896525,3.853933074988492,3.079788551786166,2.9193632993874097
PF3D7_1463500,1.1746535618481788,3.315398225627141,3.5534060703854173,2.6847789605546946,2.9021331365564143,2.162926537755711,3.1139290982809174,2.63221608212126
PF3D7_1126700,0.8797183102894426,2.2824957617150656,3.780026439820532,2.3874383399198242,4.0858516790867725,2.3759780392281544,3.133953055135549,2.6319180950099645
PF3D7_1112000,1.5257397273659374,2.8666452587446405,3.6657395533355803,2.893600762618957,3.410493063838964,2.441587419338056,3.2091196596345357,2.8006342975403555
PF3D7_1407100,1.5267658352703777,2.8281340073630417,3.796618171001376,2.3118768113404657,3.912609744400422,3.6331819829726832,3.2123096835263265,3.0015310920580607
PF3D7_1235100,1.056059627564766,2.1191239525057863,4.085177721420506,2.717373324287517,4.197411315549731,5.094113268519812,3.2797715784408847,3.2115432016413528
PF3D7_1401900,0.7233310280943541,2.512842332442885,4.2103594552877786,2.231496688032351,4.1651993560540665,2.719151633806883,3.2799744579542702,2.7603967489530534
PF3D7_1022400,1.2785223706599342,2.155215331347184,4.993076723093695,1.2155974270290646,4.786798034426978,4.673556135657269,3.2876718789742303,3.183794337035688
PF3D7_0631500,1.5740951086608033,3.3243844296973264,4.280917663482529,2.3821480245978126,3.38146633362988,2.53960700930218,3.3422291128518875,2.913769761561755
PF3D7_1401600,1.62636801133837,2.5420761030739336,4.731003424703065,1.76575426519381,4.404867393842948,3.5262730241616786,3.360925296703438,3.0993903703856343
PF3D7_1307500,1.1789830002921733,2.949504509228038,2.9679410762636915,3.7753218926909913,3.776420137716697,2.6325052339346766,3.3672969039748537,2.8801126416877114
PF3D7_1114200,1.5100935569379341,3.551365095511421,4.200756611467502,2.874421271144482,3.4049708224571984,2.777582779361597,3.5078784501451508,3.053198356146689
PF3D7_1321900,1.7077776873994888,3.506707138719261,3.9920783031547127,2.863383714389064,3.7236008430551935,2.6920014287998346,3.5214424998295577,3.0809248525862585
PF3D7_0701500,1.7637546883626545,3.140216685177536,4.089506283909246,3.1943194640572825,3.8102129780788734,2.8780910385473626,3.558563852805735,3.1460168563554927
PF3D7_1207800,1.7493997479252896,2.221941164461432,5.210421663565347,2.054167559275341,5.0836579999619635,4.420086705155353,3.642547096816021,3.456612473390788
PF3D7_0813300,1.2822190951237071,2.1705439311246977,5.113488972050369,2.202523874529779,5.171571613071771,4.365396327272281,3.6645320976941536,3.3842906355287674
PF3D7_1336700,1.7856854643995346,2.2311467903007647,5.578717807831046,1.3030315382227755,5.911181772582,5.731957673784906,3.756019477234146,3.756953507853504
PF3D7_0818500,1.8226139512315915,3.4635543490113045,4.7941910948446775,3.1084347643905184,4.227230931488778,2.7775016279038787,3.8983527849338193,3.3655877864784576
PF3D7_1407300,1.7116990488523085,2.4372814477158817,5.86980084423131,1.6952419284029316,5.752843492654238,5.300144958079254,3.9387919282510913,3.7945019533226554
PF3D7_1476500,1.9573405740743413,3.66363864235588,5.5582188398122385,2.5991519986563443,5.197496557297053,3.875498056836581,4.254626509530379,3.808557444838739
