ORF,AA13vAA17_FUP,AA13vAS18_FUP,AA13vAS19_FUP,AA17vAS18_FUP,AA17vAS19_FUP,AS18vAS19_FUP,AAvAS_mean,mean
PF3D7_0913400,0.6703416873938526,2.2752842272723965,2.3207259084263283,2.6987959895538003,2.709728730196212,0.6489108476593239,2.5011337138621843,1.8872978984169857
PF3D7_1412700,1.1173453044757728,2.1168045895053327,2.3262869733905176,2.6849748389071073,2.8773799407690275,0.9832790191956524,2.501361585642996,2.0176784443739018
PF3D7_0824500,0.9501572942818022,2.4712112899597374,2.4736437187608344,2.5240600897559626,2.5911460934800523,1.075357962850228,2.5150152979891467,2.0142627415147696
PF3D7_0824100,0.7617798924699667,2.3485275889377863,2.225278859225481,2.849034254320792,2.6403576802627207,0.7654215197763331,2.5157995956866945,1.9317332991655132
PF3D7_0214000,0.7576984400971665,2.3512287004085914,2.4724003511287025,2.5783576902252854,2.716195132196243,1.1610781779369157,2.5295454684897054,2.006159748665484
PF3D7_0209800,0.8588022952765527,2.4258587046314832,2.8603551937782026,2.134078938334218,2.720835947122163,3.137781796583124,2.535282195966517,2.356285479287624
PF3D7_0821700,1.154799281987252,2.7235956325506536,2.4648278824937684,2.593032638285452,2.3925697339561833,1.5168147178938585,2.543506471821514,2.140939981194528
PF3D7_0212300,1.1503620253998392,2.5328793266405163,2.8113867539729056,2.2122543238954324,2.6635586262266653,1.6048165067167537,2.5550197576838802,2.162542927142019
PF3D7_0915400,0.8807466366604438,2.470251067503924,2.348482793260192,2.8013554284328914,2.6141626970730187,1.4284540344343508,2.5585629965675065,2.0905754428941368
PF3D7_0919700,1.1191145479413405,2.258263456434175,2.750232167651513,2.435533826730541,2.8289019116709584,1.0985014586112307,2.5682328406217967,2.08175789483996
PF3D7_0517200,1.0397731146761993,2.9032030429774798,1.84246717509808,3.2925211869718067,2.2532543635963833,1.8236191951164988,2.5728614421609377,2.192473013072741
PF3D7_1020100,0.7614996149445421,1.0834256404315137,4.331952139312242,0.7322558433757921,4.1823596162685694,4.159378981217814,2.582498309847029,2.5418119725917454
PF3D7_0918900,0.7396647869644188,2.2017297972744028,2.6898042223571115,2.560449170152695,2.905962134038408,1.33631975163909,2.5894863309556544,2.072321643737688
PF3D7_1111200,1.1728617141089337,2.3494657900590186,2.350511337544169,2.798714016670421,2.880815010422948,0.9503554374512344,2.5948765386741397,2.0837872177094545
PF3D7_1458400,1.164952347222406,2.300915460206602,2.524669338014243,2.671386342664802,2.911454777369792,0.8511609810698543,2.60210647956386,2.070756541091284
PF3D7_0703700,1.1092436222674475,2.246583808291984,2.8767473503564998,2.5068329289009297,2.8011333275869483,2.55781734728998,2.60782435378409,2.3497263974489644
PF3D7_1029600,0.8789913310842971,2.3000399382107206,2.379169451318817,2.8653440176864686,2.9547677238955083,0.4967062317103161,2.6248302827778787,1.9791697823176881
PF3D7_0725200,1.295450294715941,2.282369966109445,2.38895245444321,2.6466593738092965,3.193480305126183,2.03303420280818,2.6278655248720337,2.3066577661687093
PF3D7_0532200,0.9663549518434976,2.3648387349658235,2.600501991633504,2.7680136623006044,2.8082406165568576,1.946793277121862,2.635398751364197,2.2424572057370247
PF3D7_0819900,1.1207467533844542,2.747329773158855,2.971141836473686,2.2025801430045364,2.671173237623516,1.3153932265123995,2.6480562475651483,2.171394161692908
PF3D7_1434300,1.1175083381834998,2.6335522676724974,2.285682884026339,2.9394308328478003,2.7397854770637,1.1822835257257198,2.649612865402584,2.1497072209199257
PF3D7_1135400,1.111067489924106,2.113273380525388,3.051485741626568,2.28751575329383,3.15415680270398,1.9540698928314704,2.6516079195374407,2.278594843484224
PF3D7_0221200,0.9940260231323216,3.009900723141933,2.3901917549606333,2.8442061336259266,2.3882116012464367,1.4711627757346173,2.658127553243732,2.1829498353069776
PF3D7_1338300,0.898192895543078,2.510471816796356,2.745820634119139,2.604240782463933,2.815743339992777,1.5781291384148108,2.6690691433430507,2.1920997678883487
PF3D7_1353000,0.9996042558090644,1.871463163655514,3.2541043301030137,2.180600324842226,3.3844093763538687,1.8544220397995512,2.6726442987386556,2.2574339150938734
PF3D7_1228900,1.0405921741629434,2.4693614281640177,2.448365301830556,2.8586865439721603,2.954843328371515,0.5912090377226086,2.682814150584562,2.060509635703967
PF3D7_1249100,1.203432064625457,2.340677191522681,2.6210003189576967,2.7401079540675783,3.0420892508238238,1.370269675948092,2.685968678842945,2.2195960759908884
PF3D7_0318700,0.5862987217342466,1.406545685710204,3.6563898038621785,1.7678504659969168,3.9376610385958397,2.9504263571156755,2.6921117485412847,2.3841953455025098
PF3D7_0607000,1.1975024980259583,2.4435990259435774,2.58330166933702,2.8504058275673185,2.96213161780754,1.2079397224322976,2.709859535163864,2.2074800601856186
PF3D7_1442000,1.106738710228257,2.6395231249479725,2.7446187124687493,2.7518528539847367,2.731498356062429,1.1886544603285998,2.7168732618659717,2.193814369670124
PF3D7_1207600,1.2017485027672128,2.520805398614322,2.5906768084489893,2.864899174242027,2.9143029005837486,0.8466144558973133,2.722671070472272,2.1565078734256016
PF3D7_0815200,1.2625022338094551,1.9430422661479223,3.130270042531674,2.4248968211020925,3.4067534279177285,1.6957845946356185,2.7262406394248546,2.310541564357415
PF3D7_1401600,0.786700857847385,1.362075765932572,3.5787727197767643,1.913718630222054,4.149282729231516,2.569661744653924,2.7509624612907273,2.3933687412773694
PF3D7_1465200,0.9611163050970236,2.539930079447461,2.8839426875082075,2.7106767774146068,2.9158296351451463,0.9406222213253989,2.762594794878856,2.158686284322974
PF3D7_1337300,1.154019113277875,2.3950081866355983,2.648263049450746,2.8741685027622883,3.1787761541776565,1.6151644906208744,2.774053973256572,2.3108999161541735
PF3D7_0217700,1.3053059088101422,2.7654803412607656,2.8641327459166037,2.6996459547399185,2.772367717057069,1.3887200547676242,2.7754066897435896,2.299275453758688
PF3D7_0407500,1.0413236139637645,2.4887282290951718,3.282114993002187,2.3366196610190397,3.111326415274497,1.824253948069508,2.8046973245977243,2.3473944767373616
PF3D7_1218400,1.0728715333210357,2.1211709972193185,3.2047442064417515,2.3683648845370717,3.534800676053272,2.1746213749958443,2.807270191062853,2.4127622787613827
PF3D7_1325100,0.8582527480811329,2.4333715887664704,2.9883256003585315,2.6383573018709723,3.1955283152758645,1.6969780770009788,2.81389570156796,2.3018022718923254
PF3D7_1325800,0.6867104838522889,2.773432958061816,2.575946573584172,3.1342201981639666,2.9205905261441565,0.8551749020202425,2.851047563988528,2.157679273637774
