ORF,AA13vAA17_FUP,AA13vAS18_FUP,AA13vAS19_FUP,AA17vAS18_FUP,AA17vAS19_FUP,AS18vAS19_FUP,AAvAS_mean
PF3D7_1249100,1.1955102965839215,2.095769478681281,2.4995437942485093,2.512584096388964,2.900172126291576,1.370269675948092,2.5020173739025817
PF3D7_0405500,1.357895188649345,2.178820362112955,2.725189455770201,2.4595399549180548,2.7322506275969483,1.9230550400215882,2.5239501000995395
PF3D7_1023200,1.2279346813228893,2.030644281541712,2.777760984013204,2.336708690577461,2.970427276687152,1.1848388903102254,2.528885308204882
PF3D7_1422800,1.49348197943018,2.13531076009704,3.21610891718044,1.771078841983248,3.0098556633237337,1.6828652917547695,2.533088545646115
PF3D7_1364400,1.5299339402870231,2.7283716392719923,2.3497035162690234,2.579373816828073,2.477168990637358,2.9741879197539136,2.533654490751612
PF3D7_1442000,1.0523864875355815,2.4234050982721063,2.6859561396383125,2.365090040642848,2.6660733453841483,0.8255796130406693,2.5351311559843537
PF3D7_1458400,1.0919275419154548,2.177503787128764,2.5061922388015763,2.5615456998311315,2.9051871448711086,0.8102759794006305,2.537607217658145
PF3D7_0708800,1.4205904405997432,2.3593790443586653,2.380281410056245,2.7946025192954314,2.667639470419679,1.4124571844082778,2.550475611032505
PF3D7_1243600,1.271194799364766,1.865077863711697,2.9096087949062865,2.227410149812395,3.2071060570691614,2.075052945927128,2.552300716374885
PF3D7_0921900,1.6120904457458824,2.1466168211747787,2.533465329235685,2.626546952485335,2.968132484038956,1.7577865326804003,2.5686903967336887
PF3D7_0524000,1.1847235654418329,2.3973578767824795,2.482159683980504,2.540909450960663,2.8674836715888308,2.2852479707494173,2.5719776708281192
PF3D7_1105600,1.1907794174850084,2.226416113719888,2.6632687449544914,2.6247166887327924,2.7792555908363488,1.919783809006932,2.5734142845608803
PF3D7_1310400,1.0986848310242558,2.455731498177143,2.5342857151056153,2.575128321978076,2.7287005430917857,1.3192326471343223,2.5734615195881547
PF3D7_1120000,1.7155289622249386,2.2802812952226046,2.70289599647052,2.5237180356046087,2.7933622155535067,1.49754561415712,2.5750643857128104
PF3D7_0318700,0.5491403641721271,1.308103284622136,3.54990868989744,1.6426083829346372,3.8062756045597648,2.875633195573064,2.5767239905034947
PF3D7_1201500,0.9708853560759378,2.091092439747748,2.747425761852375,2.643223611592372,2.8577415189374467,1.6300291565209597,2.5848708330324857
PF3D7_1408900,1.4660747107135619,2.4799179412672014,2.577959960317548,2.460249593072392,2.8402587739356937,2.8893185793978557,2.5895965671482086
PF3D7_1421500,1.6521507518458831,2.4356914302521853,3.286168496384477,1.8304811392433056,2.8444851395598305,1.598047943824663,2.5992065513599503
PF3D7_0517700,1.156566973463012,1.8609854119254652,2.6041254540757595,2.90491846163532,3.1021273931518105,2.308804319836025,2.618039180197089
PF3D7_1211500,1.2741772916447516,2.6796157149291595,2.687091715281672,2.4558396303406536,2.7262722591798547,0.9333259848588148,2.6372048299328346
PF3D7_1207600,1.182123821035324,2.3675308782051383,2.584671839210727,2.7290241180762216,2.896148574923477,0.7541686218114675,2.644343852603891
PF3D7_1249900,1.1977513205339907,1.9833730938470493,2.6539564026680984,2.7104820237709952,3.3332245031219636,1.5448628395745143,2.670259005852027
PF3D7_1121700,1.5908215506940764,2.215388408629757,2.535312359869456,2.6660519751471896,3.275744281622087,1.4826704038463283,2.6731242563171227
PF3D7_1137800,1.4062921724818749,1.7905489119526166,2.5226744932228318,2.8561021360004264,3.5281028274624173,1.8416774115688503,2.674357092159573
PF3D7_0935000,1.2038704989449789,2.233767223741673,2.729394156631092,2.7592683848992605,2.9807308030640587,2.2668576265501468,2.675790142084021
PF3D7_0935100,1.2049471404417842,2.395891308644922,3.082432666229624,2.2578368353912524,3.0206098578043417,1.6183115623144748,2.689192667017535
PF3D7_0303300,1.5155210124984853,2.5502634615140307,2.9715882864303684,2.5552401855084943,2.702552947956259,2.0222469690523384,2.6949112203522887
PF3D7_0906700,1.0962130350178465,2.0517412103377146,2.8888516411937526,2.4983813796430483,3.341639978601524,1.4057824348304828,2.6951535524440096
PF3D7_0830700,0.4730345640860605,2.485049721980225,2.7081227070248457,2.692566459021512,2.9033786819129737,0.7623889710599704,2.697279392484889
PF3D7_1117300,1.512957502105745,2.8856426654732235,2.53068462995698,3.121778867406061,2.290843383127484,2.615138497622995,2.7072373864909367
PF3D7_1216900,1.0460949944113378,2.394506491579348,2.9095962295652114,2.492243231165855,3.0464906473796636,0.997002818274322,2.7107091499225198
PF3D7_1123600,1.5333644559392985,2.243769582597701,3.0028961170508297,2.521088361898605,3.120411713210828,1.8732985536495392,2.7220414436894917
PF3D7_0708100,1.1798746534250242,2.125758887274121,2.5373408975719287,2.938284120820096,3.317762863639219,1.7080328134112006,2.7297866923263405
PF3D7_1304200.1,0.9734474583057292,2.420500026764689,2.3836214777258844,3.1656531222780715,2.9703523763568684,1.4011747462280413,2.7350317507813786
PF3D7_0304200,1.340784814879333,2.3466599208645684,2.5614897908105885,2.9942362519221914,3.047322333817565,2.5229374984478987,2.7374270743537283
PF3D7_0528600,1.686460440687685,2.6903205900635663,3.149172466690583,2.4944761369539505,2.647032521201089,1.9190535645577258,2.7452504287272967
PF3D7_0301300,1.387115704014678,2.710334940336101,2.8661786580527124,2.7894937773570865,2.6922121705966204,0.7592563466038721,2.76455488658563
PF3D7_1027500,1.0990647228978143,2.7925759499112766,3.0450878325024338,2.367633613717114,2.8794434230457253,1.212146441229029,2.7711852047941368
PF3D7_1445700,1.43030690162949,2.309155274584131,2.925371751575427,2.721356423320179,3.167602656527571,2.3012379364334814,2.7808715265018265
PF3D7_1407500,1.5379993726070618,2.0418468271556107,3.081419598715456,2.6785846075332884,3.3230752252065385,2.526839107141384,2.781231564652724
PF3D7_0925900,1.0460136010667032,2.424133198388624,3.0179882770458653,2.6191951702151743,3.07632446074059,2.024296207817847,2.784410276597564
PF3D7_1012900,1.6325093565932525,2.7216226444175486,2.932368568939752,2.7130862804546916,2.814954450706242,2.0297158448456787,2.795507986129558
PF3D7_0729500,1.2175899193633668,2.581105489604981,2.8519176898524488,2.7901155880397246,3.023008802662972,1.3087242769757363,2.8115368925400315
PF3D7_0108400.1,1.2983165931752396,2.806947686735714,2.3038325820300787,3.1207420578771483,3.032207509359224,1.9938282434545884,2.8159324590005417
PF3D7_0306200,1.158060063891283,2.4686600375266377,2.8954481211574197,2.777392198073977,3.1820003351188553,0.9424859034477924,2.8308751729692228
PF3D7_1428300,1.4561750568387075,2.459805488787186,2.974537536974529,2.6930770355378564,3.228794306837002,1.8976537339362642,2.8390535920341438
PF3D7_0923000,1.3777762107355618,2.4741991084969714,3.3323974869188464,2.351389932829439,3.297567658751544,2.4748197641186125,2.8638885467492003
PF3D7_1314900,1.3783279847669412,2.444099450830847,2.6760359735081867,3.0629589256288168,3.3150352752885315,1.198487918455318,2.874532406314096
PF3D7_1213700,0.9187183196836288,2.5833844714993988,2.8977197044787886,3.0041939793358865,3.024662460600815,1.5628402483359871,2.8774901539787225
PF3D7_0623200,1.624811653036436,2.178063143126013,3.578643487906531,2.2380398366205783,3.569456660713057,2.7309774327914482,2.8910507820915448
PF3D7_1469300,1.8603045949501864,2.6466982430424064,3.0998224726930763,2.654389790722476,3.1881043374241917,1.3390530591796486,2.8972537109705376
PF3D7_1423700,1.4696937263384708,2.3975277199728224,3.0091143693957125,2.8009861300994507,3.4365296025655416,1.4585720476100543,2.911039455508382
PF3D7_0309000,1.589580236544874,2.48260575127572,3.186653487336893,2.67287607016217,3.3177675374923075,1.9217179821360324,2.9149757115667727
PF3D7_0810600,0.8813375904146583,2.5177756535111406,3.092735341735543,2.7366559196940985,3.3806961681933543,1.5472747624311065,2.9319657707835343
PF3D7_1461200,1.9143794836939887,2.863570521897895,3.6268259128853,2.7644649782183794,2.542688683118654,2.190555351973184,2.9493875240300573
PF3D7_0731400,0.9128664427525024,2.6874168077209353,3.177536419683339,2.692877645734824,3.2468865933301267,1.03615322396118,2.951179366617306
PF3D7_0523900,1.1583470042241424,3.0069878267540284,2.572267998475536,3.6232303674070128,2.6869413241803386,3.138990790244925,2.9723568792042285
PF3D7_1419300,1.350972680448306,2.617714027943764,2.938646756088513,3.0401089690595278,3.3754167266304584,1.4680828836643736,2.9929716199305667
PF3D7_0204500,1.630285956427869,2.402894252715444,3.0840775410481576,2.9660627328253124,3.682223000060948,1.701572811014146,3.0338143816624656
PF3D7_1366100,1.6609817785236716,1.71677765425593,3.6295392939449287,2.2633276655841033,4.551118920424356,3.4402055827722924,3.040190883552329
PF3D7_1007900,1.1874699448552863,2.269749365372472,3.1366294177898,3.098683608435531,3.6964810184632215,1.6325992024057547,3.0503858525152565
PF3D7_1355500,1.776270491803147,2.7597914434918294,3.3461407984983285,2.944255832924185,3.2332065237137835,1.8637120642541165,3.070848649657032
PF3D7_1338200,1.8739594740983216,2.2675568293128734,3.1429512773250514,3.405439146471583,3.5397223589492777,2.40516287419177,3.0889174030146966
PF3D7_1201400,1.1214498899563023,3.1044365096105957,2.578675026907789,3.5520220202755532,3.1340632852653623,1.3241838178679184,3.092299210514825
PF3D7_0110800,1.0722478595055391,2.880441024127213,3.04401107602256,3.2913732084870984,3.1539170424243963,1.6943085070796284,3.092435587765317
PF3D7_0722400,1.338096253758802,2.7010027814614896,3.19658741676094,2.8684829249030432,3.623866426803221,1.4735039891754738,3.0974848874821737
PF3D7_1308200,1.2390326926976216,2.8362302852034915,3.463530434548621,2.744981269202602,3.388697131719578,1.7535197733176324,3.1083597801685734
PF3D7_1237100,1.2167002567428291,2.8961041474683715,2.972891970441625,3.492294270304072,3.1998587164863146,1.7547807300952107,3.1402872761750955
PF3D7_1212600.2,1.396286534324843,1.9969030450277407,4.0161545136236985,1.9995282537101768,4.575765151946582,5.008384622911716,3.147087741077049
PF3D7_1002200,1.773267884680627,2.613258783191489,3.2652851660105,3.1828237688337637,3.714998577880294,1.0897272117784786,3.194091573979012
PF3D7_0204300,1.9925126972735168,2.8302778807436257,3.674159773226626,2.6895557007909474,3.622736628221359,1.4518238054511468,3.2041824957456395
PF3D7_1328800,1.7532764196195276,2.7302760009717884,2.6000398589659746,3.5463932177869153,3.9592268139431352,2.0339253883618555,3.208983972916953
PF3D7_0822800,2.1170102282997574,2.8805111786055124,3.2483955879361313,2.900582020847804,3.8398229510020014,2.3328954853294492,3.2173279345978623
PF3D7_0918300,1.8362352226984544,2.3152604634856404,3.3981204292403193,2.9492226787610227,4.308896990097767,3.1609475590926133,3.242875140396188
PF3D7_1311000,1.5509316435862988,2.483142756597132,3.6148021406220567,3.0200646588848197,3.864552933443485,2.3483379847424937,3.2456406223868726
PF3D7_0220500,1.5934509602238829,1.922659946504018,3.697865028723802,2.725982454924159,4.784801565627703,2.8263534101556367,3.2828272489449213
PF3D7_0707900,1.7139189548191072,2.4175122521905057,3.1536347380498384,3.815620076231312,3.879152444995027,2.7452923341973783,3.31647987786667
PF3D7_0716900,1.0528008247281817,2.852025044638945,3.6504524442482342,2.9746033145934536,3.791071580547417,1.6758185873591072,3.3170380960070123
PF3D7_1323000,2.0396300998307053,3.4611601374538616,2.925593684376776,3.981495947094118,2.9282920801124446,1.8715858135000212,3.3241354622593
PF3D7_1246500,1.4879776464743248,2.9216002115589617,3.599261963068039,3.1113510053374407,3.713888034239377,1.4600143173340638,3.3365253035509546
PF3D7_0506100,2.0000949824091565,3.4763633934820137,3.8631073070542334,2.9856776110821976,3.2845009940019647,1.7198648251044208,3.4024123264051025
PF3D7_0801900,1.2152281347741845,3.1060987006867924,3.239785919493063,3.708581777468422,3.669309380017475,1.2160671851856082,3.4309439444164385
PF3D7_1442300,1.6924379299350276,2.7387895182844204,3.8267077013923947,3.1277749923937948,4.0558708653901085,2.985739923460676,3.43728576936518
PF3D7_1248200,2.087079701374744,3.229201410479184,3.6522606952244487,3.3453811250255585,3.5524686887455488,2.660420047884056,3.444827979868685
PF3D7_1207800,1.5865096741542752,3.159168512532036,3.612325097157017,3.5165694842928215,3.8256442131857873,1.3349779771717858,3.5284268267919154
PF3D7_0818400,2.022847472169225,2.9371725841642413,3.922689987149312,3.478269665999929,3.907556691713223,1.7387057622536497,3.5614222322566764
PF3D7_1415800,1.6713568938552703,3.0426927055827546,3.958146346919652,3.545466101658441,4.00439963675734,2.3080733162530045,3.637676197729547
PF3D7_1438500,1.9634791132414189,3.4913236427869667,4.316508912155569,3.0982790402366542,3.939508133470794,3.0530248103436257,3.711404932162496
PF3D7_1307000,2.171094041943209,3.0346617176743726,4.0092861716891885,3.627703516669949,4.378037198361644,1.4999517251189751,3.762422151098789
PF3D7_0702600,1.9368704673829944,4.743037889149794,3.42375235733056,4.946421346636071,3.2586936359388536,2.5330788850991013,4.09297630726382
PF3D7_0212200,1.7772711133264647,3.7226347315525823,4.820085941025988,3.9477159944721554,4.7556893261122815,2.3957288008265967,4.311531498290751
PF3D7_0206600,1.0940271304080154,4.878316070402078,4.394421648595971,4.654751241631946,4.326795229458685,2.8272572351974588,4.56357104752217
PF3D7_1103900,3.098879621422076,3.7046853429805706,4.53316143738706,4.876479054138411,5.694593452182424,3.5898485332895467,4.702229821672116
PF3D7_1002500,1.8728930423103962,4.853448121400995,4.845912732593088,4.7153373001386365,4.539230522981974,2.3365591311028084,4.738482169278673
