ORF,AA13vAA17_3D7,AA13vAS15_3D7,AA13vAS16_3D7,AA17vAS15_3D7,AA17vAS16_3D7,AS15vAS16_3D7,AAvAS_mean,mean
PF3D7_0502900,0.5532533241243339,1.0835795711533551,3.120276425605259,0.9781191004029898,2.8654100523041417,3.2555331490069466,2.011846287366436,1.976028603766171
PF3D7_1241500,0.7832218065683121,0.9973077389691626,3.0760087548539903,0.85536266303763,3.1419763443581687,2.6588163418900104,2.017663875304738,1.9187822749462125
PF3D7_0618500,0.4134466296391212,0.9219044297934441,3.1672852921205883,0.8740890277527729,3.10967271369126,2.652287227308632,2.018237865839516,1.8564475533843032
PF3D7_1140100,0.8678164628538485,0.9185762495467642,3.324566076407536,0.8790150239762131,2.961822290288062,3.4553590990570022,2.020994910054644,2.067859200354904
PF3D7_1120600,0.5016061131051078,1.291216479907786,2.6189608337510712,1.3110960220003554,2.8731207721811165,1.9993721343535973,2.0235985269600825,1.765895392549839
PF3D7_0306600,0.5148274409896577,1.0628606318416411,3.0619333429944837,0.8578275272779172,3.1283576813125227,2.7313136058991265,2.027744795856641,1.892853371719225
PF3D7_0822600,0.8268525420606129,1.526794569611983,2.9819351347402296,0.8837331977200917,2.731981327748957,2.2684025556248977,2.031111057455316,1.8699498879177956
PF3D7_1106600,0.9690894127450004,1.5512673030512434,2.417541725972657,1.389581407524906,2.7710183861409683,1.8713443057119237,2.032352205672444,1.8283070901911165
PF3D7_1028800,0.3523625361093657,0.8797482727573529,3.2574031585174303,0.8865088287175287,3.12148096242247,3.7381365024994437,2.036285305603696,2.039273376837265
PF3D7_1222400,0.7537877495247041,1.592683252253137,2.57811727118052,1.3326393707947668,2.641773873811263,1.8899108771573767,2.0363034420099213,1.798152065786961
PF3D7_1026200,0.6891674973306057,1.1556357472704175,2.8726942444020107,1.072477010913108,3.0491069722609465,2.125233190031085,2.0374784937116206,1.827385777034696
PF3D7_0416700,0.9008206867620052,1.1539759249825698,3.3201940498392437,0.7100211513106868,2.9775162826536072,3.206467966913757,2.0404268521965268,2.044832677076978
