ORF,AA13vAA17_3D7,AA13vAS15_3D7,AA13vAS16_3D7,AA17vAS15_3D7,AA17vAS16_3D7,AS15vAS16_3D7,AAvAS_mean
PF3D7_0203300,0.7081760921573144,0.7287860559180716,3.0881368392841724,0.7485715039999424,3.4409394312429016,3.1709209798611746,2.001608457611272
PF3D7_0627500,0.9637852764568252,1.4173524801420347,2.8014766432875686,1.1924763571682406,2.603294518483761,2.7838389210846675,2.0036499997704014
PF3D7_0313300,0.3822351088638409,1.1129757953127464,2.9433769816438966,0.9831289351937826,3.0018496997527255,3.192955616555648,2.0103328529757882
PF3D7_0209400,0.942275620125872,1.032550888967178,3.140215458518882,0.6127757568182061,3.267153884196752,3.5752648530946054,2.0131739971252545
PF3D7_1310500,0.7067850110764076,1.455742161546136,2.6248436869425538,1.2062893864713773,2.7742586571980588,2.5881034616344447,2.015283473039532
PF3D7_1435600,0.7537366577567948,1.7292283962656658,2.231935944263065,1.7508202364287688,2.3533437400316424,1.2206697449263375,2.0163320792472854
PF3D7_0717000,0.3209429884619029,0.7211737625286629,3.3625162482338617,0.6280002414486604,3.375734289579525,3.142151545727463,2.0218561354476776
PF3D7_1443200,0.9990734127672548,1.3032786036579698,2.459847269981993,1.3462341254688952,2.989679207432732,2.1277026651262343,2.0247598016353976
PF3D7_0532500,0.7575253152383619,2.085756761483816,2.212260905504104,1.8194374836620604,1.9899213249675207,0.6425128057140765,2.0268441189043758
PF3D7_1243700,0.9295079749420376,1.2354634612970077,3.201354224978051,0.4594356066762187,3.239675221483291,2.976694681853928,2.033982128608642
PF3D7_0727000,0.8551747290973809,1.4638084346794238,2.54936256821111,1.3083862466635254,2.817430110038143,2.33685629821544,2.034746839898051
PF3D7_0805000,0.3297471021714593,0.7913250430315047,3.373346523794621,0.6587208676477041,3.329886802042904,3.133914316498608,2.038319809129183
PF3D7_1135900,0.4866185671120993,0.6279704129161718,3.4939712056481005,0.4199081396119945,3.632108906284372,3.4334243925245613,2.04348966611516
PF3D7_0607400,0.8520373277277459,1.190705256988101,3.1193174284346683,0.5381082893996905,3.3265305283126043,3.286166668297652,2.0436653757837657
PF3D7_1434400,0.5431405310894396,1.524572641968,2.617998283611336,1.4415089058938937,2.5997631937154257,1.4159386026249123,2.045960756297164
PF3D7_1204100,0.7052778209776018,2.01526734183168,2.1065209322228213,1.737552090319996,2.325194996798852,1.5950761427718625,2.0461338402933373
PF3D7_0204600,0.9594628137564372,1.3381273304459007,2.419623021062945,1.3263935179302524,3.104609140804905,2.0226298315548337,2.047188252561001
PF3D7_0615700,0.9462089765474674,1.1952665004339331,2.9990456309399263,1.125009584834242,2.884628823007294,3.226435104780392,2.0509876348038487
PF3D7_0903600.1,0.9864674156928924,1.5150056890967096,2.844127303518018,1.0000875329225618,2.8938309797295085,2.302483026901626,2.0632628763167
PF3D7_1304600,0.7494785910092553,1.1867815541695177,2.822541227370498,1.0646157206757432,3.222471407869638,3.031498144178726,2.074102477521349
PF3D7_1104000,0.9342838169101338,1.6570723613227587,2.6758693330973653,1.4060919322371572,2.573303193182529,3.2278535622132227,2.0780842049599526
PF3D7_0402000,0.4480644330854947,0.7851935132176859,3.1851274845584188,0.9323699335872828,3.4099796149324297,2.65394597427801,2.078167636573954
PF3D7_0110500,1.0329466867929773,1.7659613274221626,2.4337969807066413,1.3559219464838166,2.7617606965505908,2.0399568841443845,2.0793602377908025
PF3D7_0920700,0.9403185772767408,1.5887184102340943,2.6606323997945984,1.2363816096817055,2.860696167345432,1.86682940657402,2.0866071467639573
PF3D7_1457000,0.8178329160758954,0.9517764802632532,3.036871380584969,0.9375433435780036,3.4720030624291685,2.842847516851136,2.0995485667138487
