ORF,AA13vAA17_FUP,AA13vAS18_FUP,AA13vAS19_FUP,AA17vAS18_FUP,AA17vAS19_FUP,AS18vAS19_FUP,AAvAS_mean,mean
PF3D7_0935600,0.1116576968067043,0.11401055720024257,0.09100495846506497,0.14897261229945463,0.19151294817412082,0.14970145385376643,0.13637526903472075,0.13447670446655896
PF3D7_1361700,0.23697223666475262,0.11310391272442122,0.25415468305418576,0.1879735159448128,0.0856113967476237,0.23027926332545992,0.16021087711776089,0.18468250141020937
PF3D7_1149200,0.13882333162499322,0.1834861934181467,0.19931536608498124,0.1492470053541016,0.24139725294331318,0.12958097080158837,0.19336145445013567,0.17364168670452074
PF3D7_0702100,0.2897601964281977,0.2711068509776392,0.2087883681973352,0.21942836150662529,0.20356310555007404,0.30750405190077884,0.22572167155791845,0.25002515576010836
PF3D7_1439400,0.245856083022051,0.12138990364321897,0.26621748407676915,0.18650049462203241,0.3341307554664615,0.2957130303133502,0.22705965945212053,0.24163462519064718
PF3D7_1430900,0.25826879094920635,0.2303216928156074,0.2280787568293419,0.29341126864955025,0.16379852909702836,0.15872063874977396,0.228902561847882,0.22209994618175133
PF3D7_0902500,0.2663084918083372,0.16107981283785144,0.17999375616673433,0.27525317335566246,0.32591873334965255,0.1906196630919365,0.2355613689274752,0.23319560510169576
PF3D7_1362000,0.23686910989894633,0.2580756922881761,0.21122395414716544,0.28199606257372134,0.2390642084299049,0.34598696220099734,0.24758997935974192,0.2622026649231519
PF3D7_1435300,0.20317181294098965,0.19872723504189152,0.2959381592266083,0.24011054981451524,0.2659119134444469,0.23853514328473585,0.2501719643818655,0.24039913562553125
PF3D7_1339400,0.18726345305720418,0.22823207766482803,0.281006691739548,0.12377391134009087,0.3886412509203261,0.43126161215969405,0.25541348291619825,0.2733631661469485
PF3D7_1132800,0.14302892113819946,0.22275673429582452,0.32289247173925106,0.204646110431132,0.31894864252257066,0.35411511806579565,0.2673109897471946,0.2610646663654623
PF3D7_1110600,0.30209788625220385,0.343022315971383,0.15071854006278707,0.28216118363897746,0.2950036895403491,0.2939658565074738,0.2677264323033742,0.2778282453288624
PF3D7_0918000,0.3777415799118312,0.3689713311081934,0.25297915911718016,0.2533070661852425,0.19613859102227058,0.28807875487235884,0.2678490368582217,0.2895360803695128
PF3D7_0605900,0.18997542007521445,0.1650109369831561,0.2580436214807656,0.20809915622460487,0.44163657835454456,0.32126871906975624,0.26819757326076776,0.264005738698007
PF3D7_0306500,0.29859822416677917,0.22426444359159922,0.21510591046886332,0.3881028256566125,0.2636275716621116,0.34024003959545995,0.2727751878447967,0.28832316919023765
PF3D7_0312400,0.22694561577671968,0.1624447492165079,0.24451729178756892,0.3733252098492146,0.31358034957675474,0.2727945307665842,0.2734669001075115,0.265601291162225
PF3D7_0703600,0.30659775937680106,0.270725554983309,0.2470224870677168,0.2959109645832637,0.2805398297140344,0.43009709670536433,0.273549709087081,0.30514894873841486
