,ORF,dtw_score
0,PF3D7_0519700,3.8182710181773656
1,PF3D7_1316900,3.2602986553490467
2,PF3D7_0935100,3.0824326662296238
3,PF3D7_1421000,3.063781954657385
4,PF3D7_0422600,2.96708893690228
5,PF3D7_0522200,2.898133806649362
6,PF3D7_0907000,2.8822899688669943
7,PF3D7_1032700,2.861752440437294
8,PF3D7_1220600,2.7571206083338056
9,PF3D7_0935000,2.7293941566310918
10,PF3D7_1130000,2.709280344038005
11,PF3D7_1129800,2.6665016068194407
12,PF3D7_1136800,2.6439841347670354
13,PF3D7_0611400,2.6398282647524907
14,PF3D7_0505600,2.5137225839818576
15,PF3D7_0915900,2.50432062756506
16,PF3D7_0310700,2.4879698874532314
17,PF3D7_0514800,2.4415201328997975
18,PF3D7_1250900,2.4340383053417893
19,PF3D7_1419600,2.405426490926651
20,PF3D7_1456900,2.386399877629304
21,PF3D7_0905900,2.372307912861617
22,PF3D7_1214400,2.3678485194860257
23,PF3D7_0313200,2.3655045888734048
24,PF3D7_1350200,2.344420923637726
25,PF3D7_0306100,2.3062244829208858
26,PF3D7_0405600,2.2833343329204276
27,PF3D7_1321400,2.2813672785466887
28,PF3D7_0714500,2.281076974101341
29,PF3D7_0721900,2.2535942979583417
30,PF3D7_0709800,2.2181014862173183
31,PF3D7_1435500,2.193798668328079
32,PF3D7_0916400,2.1657171455361217
33,PF3D7_0935300,2.146768137887143
34,PF3D7_1337900,2.1277154945294674
35,PF3D7_1030500,2.1196698574192703
36,PF3D7_1108300,2.105359135567974
37,PF3D7_0615400,2.100099149191772
38,PF3D7_0931200,2.0746628001762892
39,PF3D7_1407400,2.0530531466522017
40,PF3D7_1244400,2.0495558164407086
41,PF3D7_1248500,2.0362611153939874
42,PF3D7_1233100,2.0258070375997477
43,PF3D7_1310500,2.024753523191068
44,PF3D7_0918100,1.9908127962272368
45,PF3D7_0905100,1.973256144941113
46,PF3D7_1405000,1.972089260157313
47,PF3D7_0407100,1.971544238403399
48,PF3D7_0528000,1.968757025257433
49,PF3D7_1469000,1.9486950243950234
50,PF3D7_1112000,1.9447912002126493
51,PF3D7_1233900,1.9392870111095328
52,PF3D7_0512300,1.937345135727584
53,PF3D7_1111300,1.9373099254572497
54,PF3D7_0725200,1.9328936971206043
55,PF3D7_0529000,1.9282446781642264
56,PF3D7_1368700,1.919665296416601
57,PF3D7_1219100,1.918772036774359
58,PF3D7_1366400,1.9182117580159568
59,PF3D7_0509500,1.91785635925829
60,PF3D7_1311400,1.913410036009357
61,PF3D7_1333400,1.9110736260341719
62,PF3D7_0722100,1.89843830654979
63,PF3D7_0302900,1.878877414915844
64,PF3D7_1212100,1.875274087680633
65,PF3D7_1453400,1.8700307992967977
66,PF3D7_1217300,1.868577053663912
67,PF3D7_1321200,1.8611553629681965
68,PF3D7_1437500,1.8478964806626128
69,PF3D7_1410300,1.8376028575748442
70,PF3D7_1307200,1.8330177818048996
71,PF3D7_1227400,1.8228225404045617
72,PF3D7_1365800,1.8175377715336758
73,PF3D7_0807800,1.807000267313739
74,PF3D7_1317000,1.7959465062565114
75,PF3D7_1119500,1.7937575662942666
76,PF3D7_0729000,1.7875847918159378
77,PF3D7_0501900,1.78646174062555
78,PF3D7_1412300,1.7719115557004406
79,PF3D7_1318800,1.7607781850905764
80,PF3D7_0423200,1.7577055747774604
81,PF3D7_1449500,1.7525227930427019
82,PF3D7_1146900,1.7444295525210503
83,PF3D7_1145100,1.7367412305483036
84,PF3D7_1344200,1.7327463053712682
85,PF3D7_1337500,1.7319903021493435
86,PF3D7_0719800,1.7280348066296831
87,PF3D7_0926400,1.7229744582850244
88,PF3D7_1021400,1.7171083991594331
89,PF3D7_0710200,1.7010775843824144
90,PF3D7_0217400,1.6984973241117842
91,PF3D7_1316800,1.6919504978501463
92,PF3D7_0727000,1.6793169380864934
93,PF3D7_1449800,1.6637545991014167
94,PF3D7_1326800,1.6500595093372845
95,PF3D7_0605800,1.6374528455268837
96,PF3D7_0219400.2,1.637363139100919
97,PF3D7_1223200,1.6362300593336703
98,PF3D7_1118000,1.6356191298747018
99,PF3D7_0531000,1.6328007859501026
100,PF3D7_0519200,1.6256189969470232
101,PF3D7_0914600,1.6231465465497523
102,PF3D7_0607400,1.6227515419539975
103,PF3D7_1034000,1.6217891865984169
104,PF3D7_1405200,1.6163782192509775
105,PF3D7_1316100,1.6062294520747746
106,PF3D7_1333200,1.6018589758423705
107,PF3D7_0507600,1.5929306685769227
108,PF3D7_1456700,1.580583004473861
109,PF3D7_0820200,1.5771916136628148
110,PF3D7_0910600,1.5638791350771477
111,PF3D7_1248600,1.5613937735833727
112,PF3D7_0510500,1.5603018490490472
113,PF3D7_1114100.2,1.5575997162862516
114,PF3D7_0611800,1.5564533981482584
115,PF3D7_0808100,1.5527700331493886
116,PF3D7_1215900,1.541588277190769
117,PF3D7_1467500,1.5413251436171194
118,PF3D7_1467400,1.5401188855164514
119,PF3D7_0904100,1.5397537709652251
120,PF3D7_1336400,1.5376416183504933
121,PF3D7_1457900,1.5375288736850696
122,PF3D7_0721100,1.5363248851124631
123,PF3D7_0519900,1.5348841975312444
124,PF3D7_1368400,1.5314193857528628
125,PF3D7_1343900,1.5255755934144393
126,PF3D7_0926900,1.5218351772608398
127,PF3D7_1002900,1.5099793682687737
128,PF3D7_0422100,1.5073266432598298
129,PF3D7_1349500,1.4999097101390877
130,PF3D7_0809900,1.495177910794378
131,PF3D7_1002700,1.4930410956419073
132,PF3D7_0914500,1.489371299357825
133,PF3D7_0922200,1.4847644282615668
134,PF3D7_1313700,1.484509314200115
135,PF3D7_0422300,1.4752500317505257
136,PF3D7_0927000,1.4683147881266132
137,PF3D7_1433100,1.4620808575131963
138,PF3D7_1441800,1.4616077541389114
139,PF3D7_0915200,1.461064273036013
140,PF3D7_1017900,1.4496662756785017
141,PF3D7_1439700,1.4483345423408995
142,PF3D7_0219300,1.439603422731328
143,PF3D7_1303600,1.4358385813689971
144,PF3D7_1132400,1.4337239027850996
145,PF3D7_1352400,1.4325333291273648
146,PF3D7_0804900,1.42721443501757
147,PF3D7_0322300,1.4262661591078125
148,PF3D7_0925700,1.4256611564051394
149,PF3D7_0601600,1.421480438431507
150,PF3D7_1443800,1.4163143652386747
151,PF3D7_0520800,1.4134450620793821
152,PF3D7_1119000,1.4120760690201895
153,PF3D7_1037600,1.4057583369734656
154,PF3D7_0622000,1.3921930279337997
155,PF3D7_1242000,1.392137828254139
156,PF3D7_1464500,1.3894208482399482
157,PF3D7_1323500,1.3881787535907055
158,PF3D7_1015100,1.3727964974339761
159,PF3D7_1134100,1.3720481328019778
160,PF3D7_0823800,1.371599230257677
161,PF3D7_1419000,1.3711031360344628
162,PF3D7_1369600,1.3673923641252683
163,PF3D7_0512500,1.3624902612186582
164,PF3D7_1342100,1.3619939786917248
165,PF3D7_0526700,1.3619239438273887
166,PF3D7_1203600,1.3613717251292585
167,PF3D7_0826900,1.3598942994650662
168,PF3D7_1425700,1.3383465684097535
169,PF3D7_0613100,1.335474811934526
170,PF3D7_0507700,1.3310797075883203
171,PF3D7_1355900,1.3241887038326672
172,PF3D7_1441500,1.3204432735137952
173,PF3D7_0312300,1.3199313917939255
174,PF3D7_1308400,1.3128482444256595
175,PF3D7_0203300,1.3126579822315474
176,PF3D7_1354200,1.3087411068890034
177,PF3D7_0423100,1.307085419013141
178,PF3D7_1332300,1.3045690786837771
179,PF3D7_1332000,1.3012820207408287
180,PF3D7_0806900,1.2956838101913952
181,PF3D7_0205600,1.2946362194653
182,PF3D7_1126300.1,1.2918712024165202
183,PF3D7_1307700,1.2914467127654299
184,PF3D7_0713700,1.288701054043347
185,PF3D7_0216700.1,1.2835822641621697
186,PF3D7_0803600.1,1.2809246818356543
187,PF3D7_0913700,1.27613248950174
188,PF3D7_1233800,1.2760281772116777
189,PF3D7_0828300,1.2748215184434544
190,PF3D7_0505100,1.272735530038405
191,PF3D7_1228000,1.2708309772156219
192,PF3D7_1446900,1.270446034664038
193,PF3D7_1334100,1.2672106412493382
194,PF3D7_1110000,1.2660190897907353
195,PF3D7_1117700,1.2600635556340236
196,PF3D7_1468500.1,1.2584713559105196
197,PF3D7_1131100,1.256395000465739
198,PF3D7_0931400,1.2553346154351552
199,PF3D7_1346400,1.2531176695201935
200,PF3D7_1368900,1.2525985339437988
201,PF3D7_1448400,1.2458475149148516
202,PF3D7_0608100,1.2438574114086225
203,PF3D7_0212100,1.2379744704318298
204,PF3D7_1439800,1.2374734130751506
205,PF3D7_1115500,1.2353391729913359
206,PF3D7_0208400,1.2327607210216696
207,PF3D7_1432800,1.2295977536768503
208,PF3D7_1454700,1.2276693869082504
209,PF3D7_0511800,1.2189996577554432
210,PF3D7_0520500,1.2155520405269853
211,PF3D7_0927900,1.2111842689481984
212,PF3D7_0309200,1.2102178889340105
213,PF3D7_0413900,1.208792790192672
214,PF3D7_0910200,1.2069947548921067
215,PF3D7_1443400,1.2042494984621157
216,PF3D7_1202400,1.2013302744967673
217,PF3D7_1344400,1.1976324414178987
218,PF3D7_1004800,1.1974641458549566
219,PF3D7_1436800,1.1928484483257056
220,PF3D7_1237400,1.1924259507320898
221,PF3D7_0417800,1.1894298062172572
222,PF3D7_1459800,1.1843260445541097
223,PF3D7_1411300,1.1831570934844506
224,PF3D7_1113300,1.1789859525211441
225,PF3D7_1360100,1.1783808808667773
226,PF3D7_1110100,1.1738204684541094
227,PF3D7_0910400,1.1702897326364963
228,PF3D7_1142800,1.1658530587690394
229,PF3D7_1452600,1.1639048970766597
230,PF3D7_1338000,1.1585616231811335
231,PF3D7_1021900,1.1484948339491665
232,PF3D7_1246800,1.1453815463974681
233,PF3D7_1309200,1.1440001896601
234,PF3D7_0912900,1.1427811068071212
235,PF3D7_0103900,1.142583481940099
236,PF3D7_1013500,1.1396325639878655
237,PF3D7_1360000,1.138261507559362
238,PF3D7_0303000,1.1380883397289738
239,PF3D7_1223300,1.1358624269601973
240,PF3D7_0414700,1.1295124953461129
241,PF3D7_1432000,1.1199354448189434
242,PF3D7_1330100,1.1197622508006788
243,PF3D7_1314500,1.1174527225425939
244,PF3D7_0921700,1.1120533492588742
245,PF3D7_1411700,1.0940624312508909
246,PF3D7_0703200,1.0936598288087769
247,PF3D7_1212000,1.0895728574909602
248,PF3D7_0928000.1,1.088334965831085
249,PF3D7_0516400,1.077991060066834
250,PF3D7_0721000,1.0755833806074253
251,PF3D7_1455500,1.0741370050243007
252,PF3D7_1250700,1.0712928445477863
253,PF3D7_1366200,1.0685215107944301
254,PF3D7_0405100,1.0658114852779401
255,PF3D7_1356900,1.0611074780992387
256,PF3D7_0106300,1.051351670269609
257,PF3D7_0515300,1.0505618416402542
258,PF3D7_1147900,1.0502809391016685
259,PF3D7_1032500,1.0449713570979575
260,PF3D7_0916500,1.044763701180024
261,PF3D7_1233000,1.0438683189691043
262,PF3D7_1363100,1.0420502732991428
263,PF3D7_1402300,1.041041123971478
264,PF3D7_1351200,1.0382077139839756
265,PF3D7_1409100,1.03752695839163
266,PF3D7_0320100,1.0305016873012482
267,PF3D7_0704400,1.0280216250431482
268,PF3D7_1447700,1.0279307311129244
269,PF3D7_1448300,1.026748463979764
270,PF3D7_1433300,1.0252283408537888
271,PF3D7_0527100,1.0249156768119076
272,PF3D7_0804500,1.0159899932733198
273,PF3D7_1106100,1.0146697322387994
274,PF3D7_0916100,1.013948939764424
275,PF3D7_1032000,1.0120695550487564
276,PF3D7_0305000,1.011840373490389
277,PF3D7_0716300,1.0087087453017587
278,PF3D7_1367500,1.0042326530475716
279,PF3D7_1345400,1.0026041382800823
280,PF3D7_1336200,0.999372999467877
281,PF3D7_0812600,0.9953550625842633
282,PF3D7_1457000,0.9922280685506124
283,PF3D7_1418000,0.9865626505088065
284,PF3D7_1409300,0.9850662671216073
285,PF3D7_1132300,0.9848225529845548
286,PF3D7_0815800,0.984447115679146
287,PF3D7_1429100,0.981029310807059
288,PF3D7_0829000,0.9792892307206453
289,PF3D7_0320700,0.9779745892164596
290,PF3D7_0923800.1,0.9704163228671208
291,PF3D7_0614000,0.9700220915665977
292,PF3D7_1345900,0.9692696201077081
293,PF3D7_0803500,0.967003879940495
294,PF3D7_1105500,0.9640087566418132
295,PF3D7_1236000,0.9637389484183017
296,PF3D7_1417700,0.9577964789151553
297,PF3D7_0934700,0.95576168076139
298,PF3D7_0317500,0.9550754021039319
299,PF3D7_1133800,0.9513795738768981
300,PF3D7_0904800,0.949221667766662
301,PF3D7_0515800,0.9491499104357756
302,PF3D7_1433400,0.9486756425397804
303,PF3D7_0412100,0.9481185548357774
304,PF3D7_0907800,0.9400965305870115
305,PF3D7_1402400,0.9386716273378097
306,PF3D7_1472800,0.9381183537682382
307,PF3D7_1244600,0.9348015336147123
308,PF3D7_0931500,0.9339364472974477
309,PF3D7_0931800,0.9316587472904545
310,PF3D7_0803800,0.9313710348462947
311,PF3D7_1117900,0.9265744954063952
312,PF3D7_0219400.1,0.9233736521177398
