,ORF,dtw_score
694,PF3D7_0516500,5.298228650500425
3126,PF3D7_1339300,4.979727295467138
2150,PF3D7_1109900,4.731100002880135
2569,PF3D7_1217500,4.730150370869773
1387,PF3D7_0818400,4.560242728075621
3485,PF3D7_1414800,4.540170740720935
3202,PF3D7_1350000,4.516780594149831
62,PF3D7_0110800,4.515557056936212
275,PF3D7_0307200,4.493901617516157
80,PF3D7_0115000,4.4923764535059805
3605,PF3D7_1431100,4.407028297491303
1836,PF3D7_1007500,4.374406343643416
592,PF3D7_0503300,4.373494975716162
3335,PF3D7_1366000,4.365526093077814
3216,PF3D7_1351600,4.356683630757233
2564,PF3D7_1216900,4.345256911709123
419,PF3D7_0403300,4.310022667194486
1840,PF3D7_1007900,4.284375375222381
2761,PF3D7_1242700,4.2758195561939
991,PF3D7_0625500,4.274978806600775
3668,PF3D7_1438600,4.264992229737998
2081,PF3D7_1038000.1,4.225994432106564
2814,PF3D7_1250000,4.202044859001655
1830,PF3D7_1006700,4.175437998177858
503,PF3D7_0415500,4.117732339219606
2409,PF3D7_1143300,4.106241774092514
2271,PF3D7_1124800,4.093978278453881
3761,PF3D7_1449900,4.093127844741808
1276,PF3D7_0804000,4.084871645158974
2307,PF3D7_1129100,4.080265507161876
3554,PF3D7_1423700,4.078414303798532
719,PF3D7_0519700,4.061235882945175
2943,PF3D7_1315400,4.058663829165065
230,PF3D7_0301300,4.052814196749615
2028,PF3D7_1031000,4.048536820106236
2877,PF3D7_1306800,4.047477904156572
3563,PF3D7_1426000,4.020217951080688
2417,PF3D7_1144300,4.006701253612054
3168,PF3D7_1345100,4.002126681603902
41,PF3D7_0108300,3.996181327610559
3001,PF3D7_1323400,3.992528389124752
3244,PF3D7_1354600,3.985746630292936
415,PF3D7_0402400,3.978145550328746
3121,PF3D7_1338200,3.9687877125029614
706,PF3D7_0517700,3.9651689886271253
2355,PF3D7_1135700,3.959464983348689
3253,PF3D7_1355800,3.9527697467127005
465,PF3D7_0409000,3.945929880259634
3825,PF3D7_1458200,3.940741434991894
1566,PF3D7_0910300,3.9332810899910777
926,PF3D7_0616300,3.9326936670229338
3624,PF3D7_1433200,3.9259340425979956
3205,PF3D7_1350300,3.9228258347142018
3432,PF3D7_1408500,3.9173349981791943
302,PF3D7_0310600.1,3.9170391338200568
3824,PF3D7_1458100,3.9122285991707573
3931,PF3D7_1472100,3.9105632871798
28,PF3D7_0106400,3.90640363222207
2084,PF3D7_1038200,3.894678122113183
2082,PF3D7_1038000.2,3.894566965871896
3726,PF3D7_1445700,3.8797373069790932
1884,PF3D7_1012900,3.874800922420673
3493,PF3D7_1415800,3.8709976868985083
1698,PF3D7_0925900,3.864025705557718
3183,PF3D7_1347300,3.8634644674137144
1622,PF3D7_0916900,3.859337153803595
2852,PF3D7_1302800,3.8436785640959257
1167,PF3D7_0720100,3.8429623103867803
3452,PF3D7_1410900,3.8412249105632297
2244,PF3D7_1121700,3.8380060902976396
3069,PF3D7_1331400,3.8324322851276063
2947,PF3D7_1315800,3.829000673962225
3541,PF3D7_1422300,3.8253726840616835
2948,PF3D7_1315900,3.8240958063198183
1085,PF3D7_0707900,3.8235613267073285
254,PF3D7_0304400.1,3.822640625730472
627,PF3D7_0507800,3.817682666866181
1663,PF3D7_0921800,3.810522932784409
1848,PF3D7_1009000,3.8067205450762303
3968,PF3D7_1477600,3.80512400285509
2887,PF3D7_1308200,3.802560292204249
614,PF3D7_0506100,3.7991188843353085
1304,PF3D7_0807300,3.797694695926392
935,PF3D7_0617200,3.792787365079832
3861,PF3D7_1463000,3.7925372611148913
3738,PF3D7_1447100,3.791249988951011
3836,PF3D7_1459300,3.7814891078243087
646,PF3D7_0509800,3.7814622762411014
3350,PF3D7_1367600,3.7730795459692335
1087,PF3D7_0708100,3.757541383898894
3689,PF3D7_1441000,3.755852249459416
1237,PF3D7_0729500,3.749414607619686
790,PF3D7_0528200,3.7474968615573965
2867,PF3D7_1304900,3.7351586200388827
3333,PF3D7_1365800,3.731253232204775
2104,PF3D7_1104100,3.7256698466514355
2493,PF3D7_1206200,3.706877995492842
3557,PF3D7_1424400,3.6998345881102956
346,PF3D7_0316900,3.693161387001514
2007,PF3D7_1028300,3.692874711996467
2147,PF3D7_1109100,3.6924889207125915
2563,PF3D7_1216700,3.691275264919189
1725,PF3D7_0929200,3.6910226921409106
3622,PF3D7_1433000,3.6771409625853897
1588,PF3D7_0913000,3.673843019289481
2830,PF3D7_1251800,3.66786223331473
1043,PF3D7_0703100,3.6650495003327475
1941,PF3D7_1019400,3.664164838259929
1555,PF3D7_0909200,3.661465018945919
1414,PF3D7_0821500,3.659523632057838
1720,PF3D7_0928500,3.654289434585618
3701,PF3D7_1442600,3.6534232052338953
1701,PF3D7_0926200,3.6463680253566775
3873,PF3D7_1464600,3.6456454089387083
3338,PF3D7_1366300,3.6432813844045477
978,PF3D7_0623200,3.6428265157306723
93,PF3D7_0204200,3.635444155409082
3401,PF3D7_1404900,3.631562063911727
3006,PF3D7_1323900,3.6312741233528065
472,PF3D7_0409800,3.630976120030418
3421,PF3D7_1407200,3.6280831877861783
330,PF3D7_0314600,3.6243821776968828
310,PF3D7_0311500,3.623084590559392
199,PF3D7_0217700,3.6207265983397567
1842,PF3D7_1008100,3.620417874721771
3113,PF3D7_1337300,3.6189592855694923
3222,PF3D7_1352100,3.61848473055938
3580,PF3D7_1428100,3.618019007543493
2782,PF3D7_1245900,3.6153479800428268
1524,PF3D7_0905800,3.613440654984466
1544,PF3D7_0907700,3.612508685896018
2177,PF3D7_1113500,3.609284043668003
2379,PF3D7_1138800,3.609253739321804
1764,PF3D7_0934500,3.606907523106543
891,PF3D7_0612100,3.604523727533134
1192,PF3D7_0723000,3.5928251526269084
3851,PF3D7_1461200,3.5926849890265786
3398,PF3D7_1404500,3.591741800890144
3085,PF3D7_1333100,3.5883894500875675
2093,PF3D7_1102500,3.5872732722649365
1580,PF3D7_0911900,3.5842117075116255
1011,PF3D7_0627900,3.579637507324248
180,PF3D7_0215600,3.5792193915022703
2954,PF3D7_1316900,3.574614049073625
2627,PF3D7_1225400,3.5737295166678678
2904,PF3D7_1310400,3.571482138581204
3088,PF3D7_1333400,3.5672913202316416
1083,PF3D7_0707700,3.567254265266582
2809,PF3D7_1249100,3.5666901203238277
2116,PF3D7_1105600,3.5655995682844064
3029,PF3D7_1326700,3.565149337835886
195,PF3D7_0217300,3.5625257241790993
3102,PF3D7_1335600,3.557867470600504
555,PF3D7_0423600,3.553627641462635
661,PF3D7_0511900,3.5529640737617174
3750,PF3D7_1448600,3.5509064465333675
2910,PF3D7_1311000,3.546123931599276
3067,PF3D7_1331200,3.543214117778533
3347,PF3D7_1367200,3.541075542551785
2917,PF3D7_1311800,3.5395904809992835
3488,PF3D7_1415200,3.5395851573297312
2404,PF3D7_1142600,3.5379866778732634
3167,PF3D7_1344900,3.535497067626329
1873,PF3D7_1011800,3.5306690888341525
3865,PF3D7_1463700,3.525330842374762
3863,PF3D7_1463400,3.525118093509105
2092,PF3D7_1102400,3.523290985199955
2256,PF3D7_1123300,3.520139831631457
3751,PF3D7_1448700,3.520101039514921
2370,PF3D7_1137300,3.519632198521413
3351,PF3D7_1367700,3.5177006600480087
144,PF3D7_0210900,3.5154119786330487
3933,PF3D7_1472300,3.5095951487178496
2908,PF3D7_1310800,3.506567841710181
3479,PF3D7_1414200,3.503910519873997
2163,PF3D7_1111300,3.5012890191526975
3889,PF3D7_1466700,3.4979210973620996
2718,PF3D7_1236200,3.496229458758216
1819,PF3D7_1005000,3.495526872417226
3540,PF3D7_1422200,3.4950209665404803
2915,PF3D7_1311600,3.494551591970741
1082,PF3D7_0707600,3.4940353948655023
2292,PF3D7_1127000,3.493187893943686
1116,PF3D7_0711300,3.493020103344499
656,PF3D7_0511400,3.4926250079445933
2645,PF3D7_1227400,3.490070253102812
2529,PF3D7_1211400,3.48687581013155
2208,PF3D7_1117300,3.4856035827997705
2224,PF3D7_1119200,3.4848986580580803
2571,PF3D7_1217700,3.4810934435042427
1734,PF3D7_0930700,3.4762810764215697
502,PF3D7_0415400,3.4745012586771415
1769,PF3D7_0935000,3.47232988251437
1431,PF3D7_0823300,3.471160094958498
546,PF3D7_0422400,3.4670528102526017
1871,PF3D7_1011600,3.4664807518605545
3321,PF3D7_1364400,3.4660770931827076
337,PF3D7_0315800,3.4660526471833375
3724,PF3D7_1445500,3.465927082971035
1672,PF3D7_0922700,3.4615954790404535
1448,PF3D7_0826100,3.4559009152667204
641,PF3D7_0509300,3.451331625548094
1005,PF3D7_0627300,3.4441192367136133
1280,PF3D7_0804600,3.442859390023041
3239,PF3D7_1354000,3.4404071029705636
2316,PF3D7_1130100,3.439972563111897
3758,PF3D7_1449600,3.4393597356205583
2009,PF3D7_1028500,3.4374233368649483
3150,PF3D7_1342900,3.43740290167572
1851,PF3D7_1009400,3.437289481347999
2130,PF3D7_1107300,3.4350872263974193
2802,PF3D7_1248200,3.431912841121261
2932,PF3D7_1313900,3.4302954412015074
2781,PF3D7_1245800,3.4237663628432484
2232,PF3D7_1120000,3.422678587692257
3917,PF3D7_1470300,3.4218950174131453
2727,PF3D7_1237500,3.4168323997540844
3731,PF3D7_1446300,3.4162468494222717
1394,PF3D7_0819100,3.415227109021033
3053,PF3D7_1329600,3.4145906465138283
2629,PF3D7_1225600,3.4125523455057367
487,PF3D7_0412200,3.412508290713946
1731,PF3D7_0930400.1,3.41201006661048
2178,PF3D7_1113600,3.4088290985461493
807,PF3D7_0530600,3.406057199639898
2287,PF3D7_1126500,3.4018812014991986
266,PF3D7_0306100,3.3993228176231254
1586,PF3D7_0912800,3.3955487651585545
3518,PF3D7_1419600,3.3953248144215626
121,PF3D7_0208200,3.3930949271583994
3134,PF3D7_1340500,3.3864868115397337
969,PF3D7_0622100,3.385674775344854
1047,PF3D7_0703500,3.3833563253689065
1357,PF3D7_0814100,3.382081300530258
3106,PF3D7_1336000,3.379012633127309
53,PF3D7_0109700,3.3789994454409085
2544,PF3D7_1213400,3.377169631523025
896,PF3D7_0612800,3.3765886799699616
1335,PF3D7_0811500,3.374998626739898
1034,PF3D7_0630900,3.373992000566178
1372,PF3D7_0816000,3.3727925642802035
1479,PF3D7_0830700,3.372408996099218
3392,PF3D7_1402900,3.364780783843036
2452,PF3D7_1200900,3.364546762679334
1255,PF3D7_0801500,3.364053950232303
3778,PF3D7_1451900,3.363844791705004
163,PF3D7_0213800,3.362640798196299
2498,PF3D7_1206900,3.3623009643255495
1391,PF3D7_0818800,3.3620178035131083
1316,PF3D7_0809200,3.361185392420057
1263,PF3D7_0802400,3.361018793417297
548,PF3D7_0422600,3.3586116477644596
865,PF3D7_0608310,3.3521204346516362
329,PF3D7_0314500,3.3500290277492475
3299,PF3D7_1361200,3.3498182012623636
1420,PF3D7_0822200,3.3480093426667037
3762,PF3D7_1450000,3.3419685571119246
2457,PF3D7_1201500,3.341380404208159
3252,PF3D7_1355700,3.340861538898537
526,PF3D7_0418700,3.340787456029545
1388,PF3D7_0818500,3.339844071862017
884,PF3D7_0610700,3.33636872852358
999,PF3D7_0626500,3.333336736945241
3079,PF3D7_1332500,3.33295408522468
1935,PF3D7_1018700,3.331169378681969
1008,PF3D7_0627600,3.329269766740027
2686,PF3D7_1232400,3.3286784524565123
3891,PF3D7_1466900,3.3265452338365487
804,PF3D7_0530100,3.326305259322766
1934,PF3D7_1018600,3.325052000254458
1422,PF3D7_0822400,3.3219630071308375
773,PF3D7_0526300,3.314633091558335
30,PF3D7_0106700,3.314315348030079
2923,PF3D7_1312900,3.314214994339055
1416,PF3D7_0821700,3.3133247439254387
1177,PF3D7_0721300,3.312806745237816
3788,PF3D7_1453500,3.309354045729967
3118,PF3D7_1337900,3.30653990990353
3820,PF3D7_1457700,3.3042726635064894
1049,PF3D7_0703700,3.3031067675891506
259,PF3D7_0305200,3.2946211213718954
2146,PF3D7_1108900,3.2945604033314977
2346,PF3D7_1134500,3.292868579228099
2899,PF3D7_1309500,3.292711644193937
108,PF3D7_0206600,3.2904319228743484
1429,PF3D7_0823100,3.2888861346583593
176,PF3D7_0215200,3.288731879933856
126,PF3D7_0208800,3.285704424801504
2864,PF3D7_1304200.1,3.2853827070779684
1130,PF3D7_0714500,3.2836485599730474
98,PF3D7_0205400,3.281707298224206
2812,PF3D7_1249800,3.281392761559392
3582,PF3D7_1428300,3.278460420236804
3632,PF3D7_1434100,3.2770556884562216
3803,PF3D7_1455400,3.2769558122779623
2803,PF3D7_1248400,3.273898619051017
1307,PF3D7_0807600,3.2738485449158716
2134,PF3D7_1107700,3.269162637495695
3435,PF3D7_1408900,3.268570318376545
1189,PF3D7_0722600,3.268395433493425
178,PF3D7_0215400,3.260129789566196
2226,PF3D7_1119400,3.2562113045871404
1233,PF3D7_0729000,3.2555181641752537
2753,PF3D7_1241200,3.2553325526177064
1470,PF3D7_0829100,3.254669412884397
938,PF3D7_0617900,3.2535204387489043
2420,PF3D7_1144600,3.2528616206684746
1077,PF3D7_0706700,3.252062782664224
184,PF3D7_0216100,3.2494185966206186
72,PF3D7_0113100,3.2482386706055197
1850,PF3D7_1009300,3.2461282604339496
1739,PF3D7_0931200,3.2460639954366246
2728,PF3D7_1237600,3.245941608142226
2356,PF3D7_1135800,3.24540270791536
3032,PF3D7_1327000,3.245371255408131
2386,PF3D7_1139900,3.2453642802777245
2148,PF3D7_1109200,3.2400215946215805
2699,PF3D7_1234100,3.238726735201474
479,PF3D7_0410900,3.2352362568057624
1253,PF3D7_0800700,3.234733590705299
2229,PF3D7_1119700,3.2310907765115684
467,PF3D7_0409200,3.2292853050602526
350,PF3D7_0317300,3.2254582263571394
3342,PF3D7_1366700,3.222036189036409
434,PF3D7_0405000,3.2162857359033103
2878,PF3D7_1306900,3.2158483608233968
