,AS1901_FUP,AS1902_FUP,AS1903_FUP,AS1904_FUP,AS1905_FUP,AS1906_FUP,AS1907_FUP,AS1908_FUP,AS1909_FUP,AS1910_FUP,AS1911_FUP,AS1912_FUP,AS1913_FUP,AS1914_FUP,AS1915_FUP,AS1916_FUP
PF3D7_1325000,44.97842051,119.9338158,134.4844288,126.0640242,126.3862545,148.2902084,144.8492087,171.8491034,171.8603911,167.9337235,213.0422605,243.9978149,292.8613781,325.7079032,310.9771336,247.2757511
PF3D7_1325100,396.0221682,646.0159028,675.4584491,751.318559,752.0343848,713.5054286,700.0941743,630.4916866,674.5511083,634.0881448,702.2936496,715.8013658,674.4860734,692.4932517,602.6741039,551.1324978
PF3D7_1325200,10.47258746,15.51382692,12.75706356,14.48042881,13.53929688,8.497366106,10.01243131,19.12182388,25.28523019,24.8784429,20.89375114,16.57132108,11.50491841,15.66574905,17.09270939,16.39099328
PF3D7_1325300,1.208722412,0,1.438928045,1.456739835,1.028495342,0.533824219,0.326916617,0.627098482,0.390933523,0.655597119,0.746006569,0.393130271,1.23302374,0.441753025,1.885121859,2.686015321
PF3D7_1325400,2.966864101,2.00142079,1.710770985,1.415355181,0.867792944,1.033905287,0.840045682,0.793671517,1.090754507,1.420615632,1.907403159,3.597477036,8.690311437,33.24913124,43.83109152,72.16922008
PF3D7_1325500,2.320638462,2.24759535,0.872403979,1.177604059,1.108557853,0.593360003,0.528547824,0.549180557,1.698629567,4.526858848,10.90532057,19.0362152,20.64434438,28.16671512,23.97762829,27.47766101
PF3D7_1325600,1.723706256,2.439968084,1.709993716,0,2.281521356,0.76126341,2.486408072,1.987283923,4.552861366,5.401750908,13.35719508,18.23902977,23.62516233,59.63665832,65.75109231,108.7106603
PF3D7_1325700,1.019859535,4.330943348,2.428191076,0,0.57852863,0.900828369,2.206687164,4.93840055,7.421628603,18.43866896,20.14217735,24.28070838,34.25197677,52.55480515,57.65821936,56.98189645
PF3D7_1325800,0.850991007,2.183352579,1.962814168,3.2904847,4.736844581,5.097255699,7.250132534,10.1361844,21.89826617,29.14607856,25.42938949,26.14880115,19.57398909,31.43170682,21.67075996,20.31771228
PF3D7_1325900,2.485838257,1.92695823,1.708629194,1.402845217,1.342975419,0.901808596,0.832410102,0.818844591,0.923628305,1.166377899,1.497695451,2.695017094,6.362761659,28.44476086,36.81333761,52.40297728
PF3D7_1326000,3.482447192,5.633747445,5.922417259,2.798006391,2.539881788,4.17457049,3.49840648,3.613463817,8.206028375,16.5498297,19.13916243,30.93743464,53.6382677,127.2733562,179.2302597,248.5851026
PF3D7_1326100,5.568372534,11.65199397,34.29729828,45.90675683,53.42377137,55.06547299,54.47963562,65.48247952,75.1706003,82.11499817,86.06746407,90.20764871,86.17375224,112.1062998,112.9919387,116.2080219
PF3D7_1326200,5.521044098,10.42031482,20.99563712,23.65833116,18.26932515,14.76545747,14.7665532,12.30621834,16.17009808,18.96548808,13.37763659,15.44292558,18.29211042,28.47314138,35.39918679,57.96859595
PF3D7_1326300,208.1440596,395.4719987,455.7457114,348.6243288,384.8091945,297.1368726,275.3343757,219.609176,190.1386264,190.3652884,210.0050878,206.0181317,202.0827828,238.0948404,221.9269081,199.325447
PF3D7_1326400,16.52430639,50.19264865,72.84573228,113.5427283,81.04282913,82.86100608,72.34581968,66.67882599,103.3530502,104.3457503,92.28290117,95.50826242,92.65687157,105.5594015,97.78323947,105.4977446
PF3D7_1326500,1.002508427,0.654963077,0.665572223,0.650576155,0.481195836,0.51086675,0.417143131,0.453431322,0.517534278,0.90624838,2.117974698,3.967903215,6.208598159,9.709276367,10.4935629,15.25980214
PF3D7_1326600,1.843042539,1.280290023,1.16813208,0.891228617,0.813158835,0.723526655,0.470784545,0.554826727,1.101110344,2.388040959,5.599730336,12.02430994,21.47381279,37.27758908,33.45822687,47.05964333
PF3D7_1326700,23.43986555,32.75458689,41.85611137,45.15088661,39.63400556,29.33083897,25.1960597,30.61002814,46.43415514,46.50755251,34.00306183,31.78490823,27.25962386,37.23172591,35.56084501,45.75977956
PF3D7_1326800,3.138029338,10.19045494,15.71182461,18.09389524,15.70665963,12.7990999,15.07736479,10.85362758,14.17907928,13.8832331,14.69649818,16.95441002,18.27969496,25.36581847,28.39278207,29.61214693
PF3D7_1326900,2.923375865,11.28584586,17.32162364,16.38832315,18.6184458,16.72547786,14.73520745,11.76575654,12.66753547,14.46264328,10.3061901,10.48486117,8.85260686,12.4081158,9.455352158,10.20848308
PF3D7_1327000,3.55901599,13.30769973,26.93993062,45.1589349,29.48353312,26.75052473,22.04870961,19.60263405,23.43429286,25.61685038,19.99021305,21.62216492,18.63235873,24.73816938,22.58218894,25.53846313
PF3D7_1327100,1.89191334,2.008553437,4.785999802,3.800190875,5.902668917,3.342203803,1.407162829,3.435409078,2.4093403,1.795766021,0.63248383,1.230668675,0.779402966,2.16074849,2.212969139,2.102098947
PF3D7_1327200,19.3491137,46.10543116,67.1831523,87.57712608,78.84453418,63.66328551,70.12555257,38.36950399,40.62502368,44.66093416,36.42310727,35.87119491,37.09755675,37.47916472,43.81930369,55.2824723
PF3D7_1327300,32.11762544,37.68274391,19.06319275,21.57126722,10.59132591,7.423307271,5.209550989,5.043673485,17.33733581,26.27407662,23.2057472,19.71014214,12.2412514,25.02016818,23.85857353,33.15964109
PF3D7_1327400,4.039047662,3.049289046,2.083596303,1.298085002,1.374721496,1.427054842,1.165247347,0.651934066,1.741783024,3.79727044,7.146152032,10.96483143,19.10106844,38.9704896,62.36300407,93.8585693
PF3D7_1327500,2.460913959,2.143699724,1.408463501,1.520958065,1.073835043,0.710630268,0.204796953,0.491057396,0.290819167,0.308024168,0.272612609,0.344787106,0.727864719,4.462371765,8.52487314,17.40746256
PF3D7_1327600,15.52176463,32.67573518,29.13829291,31.9772159,40.86387589,30.75999308,21.52865526,19.82243008,28.64064805,31.44467644,31.52332635,31.58466131,31.16797156,34.61835288,34.99257451,57.78208568
PF3D7_1327700,22.4969015,30.14676252,45.35003921,57.60013577,48.4943116,42.12697372,30.34194851,20.74958214,25.66040216,25.81413655,18.08105994,17.32663857,18.59473725,21.92524203,29.9986476,40.18442563
PF3D7_1327800,61.0824962,108.0805827,115.4797467,134.8458104,118.4694634,133.8557091,125.0849409,112.4250087,134.6917552,161.2348208,157.1401002,159.6340154,147.2857255,153.0780535,141.9606389,127.6113772
PF3D7_1327900,1.760908549,4.154382109,4.192560131,0.471606422,1.331864471,0,0.952526833,0.406034989,0.759367275,0,0.120756459,0,0.276355625,0.214520354,0,0
PF3D7_1328000,1.289795256,0.730300595,1.250288088,1.302775463,0.898888205,0.488253858,0.538216381,0.497090261,0.613813306,1.30586418,2.327479843,4.736740342,9.635166745,21.44118339,24.49077903,39.69749704
PF3D7_1328100,52.08433934,122.7366971,173.46782,216.4951914,209.8927486,249.4397077,254.2168755,247.62291,251.6598491,254.5761026,309.936825,382.0051198,455.4802994,547.2928755,533.9859827,502.9163688
PF3D7_1328200,1.864711326,1.774134405,1.855942224,2.210489447,1.248529377,0.877539812,0.76064151,1.046730513,1.67582172,2.370982086,3.320553779,5.826252484,9.902001176,27.17054197,33.93298805,52.32575797
PF3D7_1328300,32.58650285,34.33540672,32.52171832,51.18275098,61.43174878,76.82740443,80.31546075,89.48864831,120.6478964,135.5934311,123.6455482,140.5706348,168.6884141,320.7485137,437.0011796,563.6483887
PF3D7_1328400,4.722702835,13.3703108,17.15727826,19.23419962,23.83399384,18.26829586,15.94452602,15.99664392,16.72294225,20.22733027,19.69993394,20.44512818,19.06614783,17.73625168,15.33425285,22.09241857
