pro	tec	pep	76.896552	83.793103	90.689655	97.586207	104.482759	111.379310	118.275862	125.172414	132.068965	138.965517	145.862069	152.758621	159.655172	166.551724	173.448276	180.344828	187.241379	194.137931	201.034483	207.931035	214.827586	221.724138	228.620690	235.517241	242.413793	249.310345	256.206897	263.103448	avg_cov	simp_snr	comp_snr
CLN2	ms	1	0.082562	0.526126	0.975381	0.514534	0.171714	0.111667	0.007837	0.314987	0.439685	0.467047	0.021668	0.179009	0.639736	0.127115	0.154014	0.464948	0.216934	0.011110	0.190880	0.079783	0.020830	0.412260	0.391406	0.170774	0.123496	0.056372	0.184449	0.212582	0.259604	5.481414	3.468050
CLN2	ms	2	0.230065	0.456055	0.559360	0.717316	0.883784	1.103730	0.947944	1.237591	1.238118	0.995356	1.015387	1.163205	0.625328	1.414214	1.414214	1.220197	1.256541	0.641548	0.167172	0.308169	0.719981	0.096619	0.724853	1.338175	1.297693	1.084113	0.639744	1.414214	0.889667	1.164504	0.950118
CLN3	ms	2	1.414214	0.336865	0.540276	0.082365	1.414214	0.000000	0.000000	1.414214	1.414214	0.182403	0.192657	1.414214	1.414214	1.414214	1.414214	1.414214	1.414214	0.671517	0.139586	0.924907	1.209025	0.469117	1.414214	1.414214	1.414214	1.414214	0.000000	0.000000	0.876704	1.093995	2.009682
ELM1	ms	2	0.667271	0.242161	0.079524	0.153431	0.523019	0.379123	0.196888	0.057004	0.207619	0.234583	0.401474	0.564043	0.112467	0.007336	0.126069	0.232123	0.348505	0.432398	0.087057	0.002523	0.279355	0.419733	0.114504	0.148244	0.150899	0.310985	0.089697	0.270113	0.244220	5.412980	3.609188
FHL1	ms	1	0.090803	0.150516	0.150831	0.176404	0.080059	0.158635	0.267051	0.182212	0.053936	0.147204	0.117485	0.139685	0.244820	0.087071	0.104758	0.182366	0.113851	0.111921	0.231639	0.213829	0.155814	0.089610	0.219125	0.111051	0.046810	0.033238	0.008272	0.133211	0.135793	15.147836	6.656320
FHL1	ms	2	0.152396	0.131598	0.172840	0.011823	0.186298	0.161469	0.281788	0.223464	0.020100	0.185420	0.365007	0.396219	0.204674	0.184343	0.117189	0.025082	0.059066	0.008835	0.066081	0.011827	0.152096	0.179609	0.182206	0.092084	0.111648	0.199615	0.178567	0.039953	0.146475	8.854749	5.421991
FHL1	ms	3	0.042526	0.139238	0.176598	0.466394	0.611860	0.323479	0.358571	0.306942	0.025890	0.050744	0.207934	0.308008	0.413967	0.354698	0.308733	0.206507	0.102686	0.161618	0.335009	0.130976	0.188185	0.305780	0.168488	0.068006	0.321545	0.200199	0.148359	0.166796	0.235705	7.917497	3.812933
FKH1	ms	1	0.570504	0.409447	0.560756	0.509175	0.307170	0.405037	0.642939	0.718874	0.596923	0.358169	0.481098	0.624346	0.702518	0.694221	0.599666	0.465628	0.474409	0.458673	0.425216	0.492956	0.805685	0.582034	0.338439	0.325975	0.529807	0.556625	0.315198	0.166425	0.504211	4.033974	1.792695
FKH2	ms	1	0.052100	0.105048	0.090556	0.202780	0.138614	0.057703	0.181950	0.119720	0.088540	0.042349	0.208834	0.329522	0.109669	0.030288	0.065995	0.101086	0.048701	0.006332	0.117413	0.128404	0.165649	0.149189	0.120755	0.082299	0.265322	0.111695	0.018162	0.158195	0.117745	11.571269	6.871360
FKH2	ms	2	0.649582	0.315363	0.342478	0.370232	0.504826	0.329452	0.579388	0.739533	0.563242	0.176777	0.439661	0.254284	0.392721	0.036307	0.219427	0.295718	0.182458	0.006891	0.051775	0.233770	0.290794	0.100770	0.013756	0.121749	0.497080	0.122457	0.631035	0.247954	0.311053	4.866582	3.055414
