ORF,AA13vAA17,AA13vAS15,AA13vAS16,AA17vAS15,AA17vAS16,AS15vAS16
PF3D7_0614200,2.500499644,1.700282025,2.198619767,2.418151655,3.048910047,2.13410635
PF3D7_0614300,0.745219681,1.059163892,1.227747443,0.728204339,0.97092064,0.870389571
PF3D7_0614400,1.533786263,1.621927213,1.135773205,0.909814882,1.131668782,1.548309904
PF3D7_0614500,1.293682808,1.228776681,2.12250389,0.749965471,1.530227315,1.616351642
PF3D7_0614700,1.147467196,1.789475216,2.098261749,1.64061778,2.154427024,1.152450274
PF3D7_0614800,0.438819538,0.479838761,1.124833795,0.394952726,1.241122183,0.956670849
PF3D7_0614900,0.320068629,0.895618768,1.081008673,0.813376482,1.063969406,0.835084335
PF3D7_0615000,1.568990068,2.088731756,2.536371987,1.367711823,3.059257425,2.595563644
PF3D7_0615300,0.336955258,1.152540354,0.710628212,1.119116722,0.801302494,0.791014825
PF3D7_0615400,1.540532683,2.254747169,2.176541015,1.466778042,1.794912339,1.61660435
PF3D7_0615500,0.156912643,0.500933985,1.259044881,0.493045015,1.30079273,1.382586941
PF3D7_0615600,2.570069391,3.038537756,2.74686649,1.766388521,2.578410264,2.51676782
PF3D7_0615700,0.946208977,1.1952665,2.999045631,1.125009585,2.884628823,3.226435105
PF3D7_0615800,0.562801258,1.041855348,1.407558009,0.897193087,1.551274866,0.982110779
PF3D7_0615900,0.914760419,1.284922087,2.615159017,1.105737521,2.878023602,2.49800213
PF3D7_0616000,1.03166738,0.763205758,1.293439193,0.7718503,0.847065402,1.181945393
PF3D7_0616100,2.202812325,2.102868641,2.659352041,1.688304465,2.797803569,2.131412014
PF3D7_0616200,0.364798974,0.659092271,1.19176428,0.557289591,1.180545226,1.012377829
PF3D7_0616300,3.207253648,3.932693667,3.986126896,2.490808775,4.772112832,4.773235639
PF3D7_0616400,2.193731763,2.754897657,2.292800841,1.684634947,2.064023951,2.630900594
PF3D7_0616500,1.289874639,1.575220572,3.59058147,1.52787546,3.612696718,3.264017406
PF3D7_0616600,0.321581383,0.918107531,1.634465233,0.888949186,1.685321746,1.054658523
PF3D7_0616700,0.923016603,1.675315496,1.191195642,1.150234005,0.933888893,1.10155529
PF3D7_0616800,0.633164678,0.672168631,0.775651117,0.489620821,0.760000722,0.758893293
PF3D7_0616900,1.881610472,2.635077757,2.683593666,2.146057913,2.704924887,2.475386088
PF3D7_0617000,1.987999318,1.907355204,1.713502846,1.724385493,2.213377617,1.585948254
PF3D7_0617100,1.934678631,2.2809893,2.433328471,1.450972473,2.112838645,1.749030595
PF3D7_0617200,3.335609634,3.792787365,3.554306685,1.426984281,1.921124487,2.618757823
PF3D7_0617300,0.636382659,0.810227435,2.908633395,0.610584387,3.053531783,2.997326891
PF3D7_0617800,1.550338006,0.870655711,1.03504682,1.169628789,1.486221953,0.840790509
PF3D7_0617900,2.602438434,3.253520439,3.781056315,2.152720595,3.477308682,2.840116741
PF3D7_0618000,0.641728994,1.545511128,1.992125335,1.338770557,1.887028364,1.118036754
PF3D7_0618100,0.793997738,1.363104347,1.210815944,1.185610594,1.313643435,1.037571439
PF3D7_0618200,2.243978195,2.415693561,1.5252611,0.948319029,2.473998059,2.745490076
PF3D7_0618300,1.31519163,1.726944846,2.48712364,1.270041956,2.505249995,2.454811853
PF3D7_0618500,0.400146541,0.860907076,2.829153141,0.826155876,2.789672879,2.422021347
PF3D7_0619000.2,1.228244968,1.699133556,1.757852058,1.259556071,1.997334318,1.483754614
PF3D7_0619100,1.227373523,1.383436495,1.717506533,1.344770583,1.559677125,2.105843296
PF3D7_0619200,1.989368446,2.454783448,3.170401941,0.990439288,3.514512275,3.123375191
PF3D7_0619300,0.495878461,1.087264948,1.208787323,0.973312261,1.311552704,0.996945761
PF3D7_0619400,0.429902595,0.496463597,2.017039113,0.471950636,2.220023358,2.020164824
PF3D7_0619500,1.076821105,1.571748676,1.377488525,1.473898867,1.274958831,1.384298727
PF3D7_0619600,1.334620512,1.511089237,2.202919335,1.456740544,3.115043589,2.236762226
PF3D7_0619700,0.425986914,0.805343958,0.51237585,0.589294816,0.486150138,0.696846969
PF3D7_0619800,1.603363779,2.050751414,1.782655804,1.78330796,2.312973685,2.013084881
PF3D7_0619900,2.339617957,2.12370078,2.088267888,1.396129353,2.527618676,2.077222588
PF3D7_0620300,1.310376712,1.631522201,1.361365102,1.857889469,1.666858147,1.202168422
PF3D7_0620400,0.530542833,1.004953323,1.701020289,1.011638173,1.617468627,1.168996391
PF3D7_0620500,1.884487936,1.956837764,3.017964325,1.647332989,3.336375617,2.873281162
PF3D7_0620600,2.737960325,2.422127348,3.231247111,1.820420571,2.629764281,3.190657389
PF3D7_0620700,0.513879246,1.019028261,0.741797204,0.987943803,0.854868288,1.557928647
PF3D7_0621000,1.776140054,1.75191024,2.411505247,1.559520307,2.939191105,2.790036086
PF3D7_0621100,0.49486396,1.053615391,0.541958232,0.746733558,0.435291581,0.792281224
PF3D7_0621200,0.625654684,1.000758711,0.771048088,1.048632358,0.80418524,1.021783909
PF3D7_0621300,1.932985414,2.736993535,3.548530424,1.620725845,3.231243368,2.399975825
PF3D7_0621400,1.484765884,1.737560225,2.066086437,0.65567117,1.248951649,1.073162499
PF3D7_0621500,1.90616746,2.998149392,4.260949802,2.660378676,4.555979375,4.058106111
PF3D7_0621700,0.879971352,1.388673115,0.833887326,1.382971139,1.084666506,0.999201676
PF3D7_0621800,2.01197301,1.653943551,1.743994593,2.038956183,2.611567709,1.980810715
PF3D7_0621900,2.233092678,2.728274312,2.537882568,1.383154926,2.645835474,2.537920863
PF3D7_0622000,1.694019407,2.85770214,2.506087053,2.736411802,2.813643399,2.663724751
PF3D7_0622100,2.63316919,3.385674775,2.481549608,1.4637751,3.168215856,3.638613118
PF3D7_0622200,2.554860227,2.870038807,2.556521504,1.678413649,3.032426146,2.304527999
PF3D7_0622300,1.646175631,1.731785873,1.904845826,1.649622471,2.028914095,1.733910714
PF3D7_0622500,1.680533637,1.515906662,1.187802439,1.69605865,1.597579398,1.308460133
PF3D7_0622700,1.191675549,1.760880657,2.008298036,1.832656326,2.094799557,2.443924681
PF3D7_0622800,1.848106217,2.383453908,2.165256404,1.139301016,1.94835759,1.71891028
PF3D7_0622900,1.529133793,1.809879571,2.23596931,1.309282407,2.432893864,2.224664245
PF3D7_0623000,0.46534774,0.398684904,1.600496713,0.363754683,1.391520326,1.596442578
PF3D7_0623100,0.895703677,1.06279996,2.648446097,0.907226671,2.790748729,2.466770625
PF3D7_0623200,3.066325536,3.642826516,3.648121075,2.568776122,3.021557772,2.910168441
PF3D7_0623500,1.221259616,1.980378805,4.059523194,1.27412563,3.738729235,3.470528112
PF3D7_0623600,1.302650758,1.380388113,1.474940762,1.434453028,1.806244991,1.321999916
PF3D7_0623700,0.899820097,1.395759137,2.040108722,1.186777586,2.33211837,1.646625765
PF3D7_0623800,1.334683272,1.586559436,1.956974426,1.373599369,2.143230853,1.776201957
PF3D7_0623900,0.707968853,0.600538659,1.711375636,0.787646059,1.684782688,1.63364476
PF3D7_0624000,0.631615712,0.815874602,2.851514824,0.717349693,3.060483756,2.776112469
PF3D7_0624200,0.24329049,0.493207706,0.536537115,0.412747344,0.494410574,0.505175688
PF3D7_0624400,1.330937426,1.664591952,1.452012917,1.516372434,1.474545935,1.380419236
PF3D7_0624500,0.485811759,0.904049546,2.087927653,1.03894502,2.06953738,2.264936206
PF3D7_0624600,2.391289231,2.67098394,3.405924683,2.483802395,3.184079699,2.250717653
PF3D7_0625300,0.301988209,1.055912447,1.63348018,1.017246958,1.753385864,1.082716839
PF3D7_0625400,1.689085041,2.720985951,2.453728541,2.238824251,2.583708201,2.346056548
PF3D7_0625500,3.895964162,4.274978807,3.942262943,2.278431526,3.127238347,3.846065398
PF3D7_0625600,1.476822333,2.207222155,2.511185978,2.097889905,2.023852778,2.607612119
PF3D7_0625800,2.173859098,2.152651752,2.000876949,1.655822838,2.301515946,2.218867279
PF3D7_0626000,2.730665155,2.409811361,2.724732103,2.615008714,3.352721505,3.519384095
PF3D7_0626100,0.503101752,0.669357526,1.077843065,0.374766124,1.131253814,1.213538565
PF3D7_0626200,2.780574368,3.090097489,2.647919996,1.710764268,2.529718312,2.687726798
PF3D7_0626300,0.340307773,0.840630663,1.30709848,0.919921729,1.212846922,1.614387416
PF3D7_0626400,0.324116449,1.315276926,1.559558804,1.106819435,1.472095424,0.639453263
PF3D7_0626500,2.625477808,3.333336737,4.2535426,1.985870224,3.851878118,3.997014735
