# RNA vs. RNA Profile Dissimilarity Measure Over Phase Shifts 
# Time series files:  AS19_FUP, AS18_FUP, AA17_FUP, AA13_FUP 
# No. of Randomized Curves (Exhaustive):  720 
# Author: Robert C. Moseley 
	shift_0	shift_1	shift_2	shift_3	shift_4	df_1	df_2	kt_diss_range	kt_diss	kt_diss_pval	est_delay
shift_times	0.0	3.0	6.0	9.0	12.0						
PF3D7_0706200	0.8666666666666667	1.0	1.0	1.0	1.0	AS19_FUP	AS18_FUP	0.1333333333333333	0.8666666666666667	9.736111111111111e-05	0.0
PF3D7_0706200	0.7333333333333333	1.0	0.5	1.0	1.0	AS19_FUP	AA17_FUP	0.5	0.5	4.75e-05	6.0
PF3D7_0706200	0.7333333333333333	0.7	0.5	1.0	1.0	AS19_FUP	AA13_FUP	0.5	0.5	5.5138888888888886e-05	6.0
PF3D7_0706200	1.0	1.0	1.0	1.0	1.0	AS18_FUP	AA17_FUP	0.0	1.0	9.944444444444444e-05	0.0
PF3D7_0706200	1.0	1.0	1.0	1.0	1.0	AS18_FUP	AA13_FUP	0.0	1.0	9.986111111111111e-05	0.0
PF3D7_0706200	0.6666666666666666	1.0	1.0	1.0	1.0	AA17_FUP	AA13_FUP	0.33333333333333337	0.6666666666666666	4.6666666666666665e-05	0.0
